  #K-Path    Energy        Ti        Ga        Al
# NKPTS & NBANDS: 180 128
# Band-Index:    1
    0.000  -56.5938     0.992     0.000     0.000
    0.029  -56.5937     0.992     0.000     0.000
    0.059  -56.5934     0.992     0.000     0.000
    0.088  -56.5929     0.992     0.000     0.000
    0.117  -56.5923     0.992     0.000     0.000
    0.146  -56.5914     0.992     0.000     0.000
    0.176  -56.5903     0.992     0.000     0.000
    0.205  -56.5891     0.992     0.000     0.000
    0.234  -56.5877     0.992     0.000     0.000
    0.264  -56.5862     0.992     0.000     0.000
    0.293  -56.5845     0.992     0.000     0.000
    0.322  -56.5827     0.992     0.000     0.000
    0.351  -56.5807     0.992     0.000     0.000
    0.381  -56.5787     0.992     0.000     0.000
    0.410  -56.5765     0.992     0.000     0.000
    0.439  -56.5743     0.992     0.000     0.000
    0.469  -56.5720     0.992     0.000     0.000
    0.498  -56.5696     0.992     0.000     0.000
    0.527  -56.5673     0.992     0.000     0.000
    0.556  -56.5651     0.992     0.000     0.000
    0.556  -56.5651     0.992     0.000     0.000
    0.586  -56.5650     0.992     0.000     0.000
    0.615  -56.5648     0.992     0.000     0.000
    0.644  -56.5643     0.992     0.000     0.000
    0.674  -56.5636     0.992     0.000     0.000
    0.703  -56.5628     0.992     0.000     0.000
    0.732  -56.5617     0.992     0.000     0.000
    0.762  -56.5605     0.992     0.000     0.000
    0.791  -56.5592     0.992     0.000     0.000
    0.820  -56.5576     0.992     0.000     0.000
    0.849  -56.5560     0.992     0.000     0.000
    0.879  -56.5542     0.992     0.000     0.000
    0.908  -56.5523     0.992     0.000     0.000
    0.937  -56.5503     0.992     0.000     0.000
    0.967  -56.5482     0.992     0.000     0.000
    0.996  -56.5460     0.992     0.000     0.000
    1.025  -56.5437     0.992     0.000     0.000
    1.054  -56.5414     0.992     0.000     0.000
    1.084  -56.5391     0.992     0.000     0.000
    1.113  -56.5370     0.992     0.000     0.000
    1.113  -56.5370     0.992     0.000     0.000
    1.154  -56.5412     0.992     0.000     0.000
    1.196  -56.5458     0.992     0.000     0.000
    1.237  -56.5505     0.992     0.000     0.000
    1.279  -56.5550     0.992     0.000     0.000
    1.320  -56.5594     0.992     0.000     0.000
    1.362  -56.5637     0.992     0.000     0.000
    1.403  -56.5677     0.992     0.000     0.000
    1.444  -56.5716     0.992     0.000     0.000
    1.486  -56.5752     0.992     0.000     0.000
    1.527  -56.5786     0.992     0.000     0.000
    1.569  -56.5817     0.992     0.000     0.000
    1.610  -56.5844     0.992     0.000     0.000
    1.651  -56.5869     0.992     0.000     0.000
    1.693  -56.5890     0.992     0.000     0.000
    1.734  -56.5907     0.992     0.000     0.000
    1.776  -56.5920     0.992     0.000     0.000
    1.817  -56.5930     0.992     0.000     0.000
    1.859  -56.5936     0.992     0.000     0.000
    1.900  -56.5938     0.992     0.000     0.000
    1.900  -56.5938     0.992     0.000     0.000
    1.920  -56.5938     0.992     0.000     0.000
    1.941  -56.5938     0.992     0.000     0.000
    1.961  -56.5938     0.992     0.000     0.000
    1.982  -56.5938     0.992     0.000     0.000
    2.002  -56.5938     0.992     0.000     0.000
    2.022  -56.5938     0.992     0.000     0.000
    2.043  -56.5938     0.992     0.000     0.000
    2.063  -56.5938     0.992     0.000     0.000
    2.083  -56.5937     0.992     0.000     0.000
    2.104  -56.5937     0.992     0.000     0.000
    2.124  -56.5937     0.992     0.000     0.000
    2.145  -56.5937     0.992     0.000     0.000
    2.165  -56.5937     0.992     0.000     0.000
    2.185  -56.5936     0.992     0.000     0.000
