     #Energy           s           p           d       tot  
   -60.10257     0.00000     0.00000     0.00000     0.00000
   -60.02557     0.00000     0.00000     0.00000     0.00000
   -59.94957     0.00000     0.00000     0.00000     0.00000
   -59.87357     0.00000     0.00000     0.00000     0.00000
   -59.79657     0.00000     0.00000     0.00000     0.00000
   -59.72057     0.00000     0.00000     0.00000     0.00000
   -59.64357     0.00000     0.00000     0.00000     0.00000
   -59.56757     0.00000     0.00000     0.00000     0.00000
   -59.49057     0.00000     0.00000     0.00000     0.00000
   -59.41457     0.00000     0.00000     0.00000     0.00000
   -59.33757     0.00000     0.00000     0.00000     0.00000
   -59.26157     0.00000     0.00000     0.00000     0.00000
   -59.18457     0.00000     0.00000     0.00000     0.00000
   -59.10857     0.00000     0.00000     0.00000     0.00000
   -59.03157     0.00000     0.00000     0.00000     0.00000
   -58.95557     0.00000     0.00000     0.00000     0.00000
   -58.87857     0.00000     0.00000     0.00000     0.00000
   -58.80257     0.00000     0.00000     0.00000     0.00000
   -58.72657     0.00000     0.00000     0.00000     0.00000
   -58.64957     0.00000     0.00000     0.00000     0.00000
   -58.57357     0.00000     0.00000     0.00000     0.00000
   -58.49657     0.00000     0.00000     0.00000     0.00000
   -58.42057     0.00000     0.00000     0.00000     0.00000
   -58.34357     0.00000     0.00000     0.00000     0.00000
   -58.26757     0.00000     0.00000     0.00000     0.00000
   -58.19057     0.00000     0.00000     0.00000     0.00000
   -58.11457     0.00000     0.00000     0.00000     0.00000
   -58.03757     0.00000     0.00000     0.00000     0.00000
   -57.96157     0.00000     0.00000     0.00000     0.00000
   -57.88457     0.00000     0.00000     0.00000     0.00000
   -57.80857     0.00000     0.00000     0.00000     0.00000
   -57.73257     0.00000     0.00000     0.00000     0.00000
   -57.65557     0.00000     0.00000     0.00000     0.00000
   -57.57957     0.00000     0.00000     0.00000     0.00000
   -57.50257    -0.00000    -0.00000     0.00000    -0.00000
   -57.42657    -0.00000    -0.00000     0.00000    -0.00000
   -57.34957    -0.00000    -0.00000     0.00000    -0.00000
   -57.27357    -0.00000    -0.00000     0.00000    -0.00000
   -57.19657    -0.00000    -0.00000     0.00000    -0.00000
   -57.12057    -0.00000    -0.00000     0.00000    -0.00000
   -57.04357    -0.00000    -0.00000     0.00000    -0.00000
   -56.96757    -0.00000    -0.00000     0.00000    -0.00000
   -56.89057    -0.00000    -0.00000     0.00000    -0.00000
   -56.81457    -0.00000    -0.00000     0.00000    -0.00000
   -56.73757    -0.00000    -0.00000     0.00000    -0.00000
   -56.66157     0.00000     0.00000     0.00000     0.00000
   -56.58557     0.00001     0.00001     0.00000     0.00002
   -56.50857     0.00002     0.00003     0.00000     0.00004
   -56.43257     0.00002     0.00003     0.00000     0.00006
   -56.35557     0.00002     0.00003     0.00000     0.00006
   -56.27957     0.00002     0.00003     0.00000     0.00006
   -56.20257     0.00002     0.00003     0.00000     0.00006
   -56.12657     0.00002     0.00003     0.00000     0.00006
   -56.04957     0.00002     0.00003     0.00000     0.00006
   -55.97357     0.00002     0.00003     0.00000     0.00006
   -55.89657     0.00002     0.00003     0.00000     0.00006
   -55.82057     0.00002     0.00003     0.00000     0.00006
   -55.74357     0.00002     0.00003     0.00000     0.00006
   -55.66757     0.00002     0.00003     0.00000     0.00006
   -55.59157     0.00002     0.00003     0.00000     0.00006
   -55.51457     0.00002     0.00003     0.00000     0.00006
   -55.43857     0.00002     0.00003     0.00000     0.00006
   -55.36157     0.00002     0.00003     0.00000     0.00006
   -55.28557     0.00002     0.00003     0.00000     0.00006
   -55.20857     0.00002     0.00003     0.00000     0.00006
   -55.13257     0.00002     0.00003     0.00000     0.00006
   -55.05557     0.00002     0.00003     0.00000     0.00006
   -54.97957     0.00002     0.00003     0.00000     0.00006
   -54.90257     0.00002     0.00003     0.00000     0.00006
   -54.82657     0.00002     0.00003     0.00000     0.00006
   -54.74957     0.00002     0.00003     0.00000     0.00006
   -54.67357     0.00002     0.00003     0.00000     0.00006
   -54.59657     0.00002     0.00003     0.00000     0.00006
   -54.52057     0.00002     0.00003     0.00000     0.00006
   -54.44457     0.00002     0.00003     0.00000     0.00006
   -54.36757     0.00002     0.00003     0.00000     0.00006
   -54.29157     0.00002     0.00003     0.00000     0.00006
   -54.21457     0.00002     0.00003     0.00000     0.00006
   -54.13857     0.00002     0.00003     0.00000     0.00006
   -54.06157     0.00002     0.00003     0.00000     0.00006
   -53.98557     0.00002     0.00003     0.00000     0.00006
   -53.90857     0.00002     0.00003     0.00000     0.00006
   -53.83257     0.00002     0.00003     0.00000     0.00006
   -53.75557     0.00002     0.00003     0.00000     0.00006
   -53.67957     0.00002     0.00003     0.00000     0.00006
   -53.60257     0.00002     0.00003     0.00000     0.00006
   -53.52657     0.00002     0.00003     0.00000     0.00006
   -53.45057     0.00002     0.00003     0.00000     0.00006
   -53.37357     0.00002     0.00003     0.00000     0.00006
   -53.29757     0.00002     0.00003     0.00000     0.00006
   -53.22057     0.00002     0.00003     0.00000     0.00006
   -53.14457     0.00002     0.00003     0.00000     0.00006
   -53.06757     0.00002     0.00003     0.00000     0.00006
   -52.99157     0.00002     0.00003     0.00000     0.00006
   -52.91457     0.00002     0.00003     0.00000     0.00006
   -52.83857     0.00002     0.00003     0.00000     0.00006
   -52.76157     0.00002     0.00003     0.00000     0.00006
   -52.68557     0.00002     0.00003     0.00000     0.00006
   -52.60857     0.00002     0.00003     0.00000     0.00006
   -52.53257     0.00002     0.00003     0.00000     0.00006
   -52.45557     0.00002     0.00003     0.00000     0.00006
   -52.37957     0.00002     0.00003     0.00000     0.00006
   -52.30357     0.00002     0.00003     0.00000     0.00006
   -52.22657     0.00002     0.00003     0.00000     0.00006
   -52.15057     0.00002     0.00003     0.00000     0.00006
   -52.07357     0.00002     0.00003     0.00000     0.00006
   -51.99757     0.00002     0.00003     0.00000     0.00006
   -51.92057     0.00002     0.00003     0.00000     0.00006
   -51.84457     0.00002     0.00003     0.00000     0.00006
   -51.76757     0.00002     0.00003     0.00000     0.00006
   -51.69157     0.00002     0.00003     0.00000     0.00006
   -51.61457     0.00002     0.00003     0.00000     0.00006
   -51.53857     0.00002     0.00003     0.00000     0.00006
   -51.46157     0.00002     0.00003     0.00000     0.00006
   -51.38557     0.00002     0.00003     0.00000     0.00006
   -51.30957     0.00002     0.00003     0.00000     0.00006
   -51.23257     0.00002     0.00003     0.00000     0.00006
   -51.15657     0.00002     0.00003     0.00000     0.00006
   -51.07957     0.00002     0.00003     0.00000     0.00006
   -51.00357     0.00002     0.00003     0.00000     0.00006
   -50.92657     0.00002     0.00003     0.00000     0.00006
   -50.85057     0.00002     0.00003     0.00000     0.00006
   -50.77357     0.00002     0.00003     0.00000     0.00006
   -50.69757     0.00002     0.00003     0.00000     0.00006
   -50.62057     0.00002     0.00003     0.00000     0.00006
   -50.54457     0.00002     0.00003     0.00000     0.00006
   -50.46757     0.00002     0.00003     0.00000     0.00006
   -50.39157     0.00002     0.00003     0.00000     0.00006
   -50.31557     0.00002     0.00003     0.00000     0.00006
   -50.23857     0.00002     0.00003     0.00000     0.00006
   -50.16257     0.00002     0.00003     0.00000     0.00006
   -50.08557     0.00002     0.00003     0.00000     0.00006
   -50.00957     0.00002     0.00003     0.00000     0.00006
   -49.93257     0.00002     0.00003     0.00000     0.00006
   -49.85657     0.00002     0.00003     0.00000     0.00006
   -49.77957     0.00002     0.00003     0.00000     0.00006
   -49.70357     0.00002     0.00003     0.00000     0.00006
   -49.62657     0.00002     0.00003     0.00000     0.00006
   -49.55057     0.00002     0.00003     0.00000     0.00006
   -49.47357     0.00002     0.00003     0.00000     0.00006
   -49.39757     0.00002     0.00003     0.00000     0.00006
   -49.32057     0.00002     0.00003     0.00000     0.00006
   -49.24457     0.00002     0.00003     0.00000     0.00006
   -49.16857     0.00002     0.00003     0.00000     0.00006
   -49.09157     0.00002     0.00003     0.00000     0.00006
   -49.01557     0.00002     0.00003     0.00000     0.00006
   -48.93857     0.00002     0.00003     0.00000     0.00006
   -48.86257     0.00002     0.00003     0.00000     0.00006
   -48.78557     0.00002     0.00003     0.00000     0.00006
   -48.70957     0.00002     0.00003     0.00000     0.00006
   -48.63257     0.00002     0.00003     0.00000     0.00006
   -48.55657     0.00002     0.00003     0.00000     0.00006
   -48.47957     0.00002     0.00003     0.00000     0.00006
   -48.40357     0.00002     0.00003     0.00000     0.00006
   -48.32657     0.00002     0.00003     0.00000     0.00006
   -48.25057     0.00002     0.00003     0.00000     0.00006
   -48.17457     0.00002     0.00003     0.00000     0.00006
   -48.09757     0.00002     0.00003     0.00000     0.00006
   -48.02157     0.00002     0.00003     0.00000     0.00006
   -47.94457     0.00002     0.00003     0.00000     0.00006
   -47.86857     0.00002     0.00003     0.00000     0.00006
   -47.79157     0.00002     0.00003     0.00000     0.00006
   -47.71557     0.00002     0.00003     0.00000     0.00006
   -47.63857     0.00002     0.00003     0.00000     0.00006
   -47.56257     0.00002     0.00003     0.00000     0.00006
   -47.48557     0.00002     0.00003     0.00000     0.00006
   -47.40957     0.00002     0.00003     0.00000     0.00006
   -47.33257     0.00002     0.00003     0.00000     0.00006
   -47.25657     0.00002     0.00003     0.00000     0.00006
   -47.17957     0.00002     0.00003     0.00000     0.00006
   -47.10357     0.00002     0.00003     0.00000     0.00006
   -47.02757     0.00002     0.00003     0.00000     0.00006
   -46.95057     0.00002     0.00003     0.00000     0.00006
   -46.87457     0.00002     0.00003     0.00000     0.00006
   -46.79757     0.00002     0.00003     0.00000     0.00006
   -46.72157     0.00002     0.00003     0.00000     0.00006
   -46.64457     0.00002     0.00003     0.00000     0.00006
   -46.56857     0.00002     0.00003     0.00000     0.00006
   -46.49157     0.00002     0.00003     0.00000     0.00006
   -46.41557     0.00002     0.00003     0.00000     0.00006
   -46.33857     0.00002     0.00003     0.00000     0.00006
   -46.26257     0.00002     0.00003     0.00000     0.00006
   -46.18557     0.00002     0.00003     0.00000     0.00006
   -46.10957     0.00002     0.00003     0.00000     0.00006
   -46.03357     0.00002     0.00003     0.00000     0.00006
   -45.95657     0.00002     0.00003     0.00000     0.00006
   -45.88057     0.00002     0.00003     0.00000     0.00006
   -45.80357     0.00002     0.00003     0.00000     0.00006
   -45.72757     0.00002     0.00003     0.00000     0.00006
   -45.65057     0.00002     0.00003     0.00000     0.00006
   -45.57457     0.00002     0.00003     0.00000     0.00006
   -45.49757     0.00002     0.00003     0.00000     0.00006
   -45.42157     0.00002     0.00003     0.00000     0.00006
   -45.34457     0.00002     0.00003     0.00000     0.00006
   -45.26857     0.00002     0.00003     0.00000     0.00006
   -45.19157     0.00002     0.00003     0.00000     0.00006
   -45.11557     0.00002     0.00003     0.00000     0.00006
   -45.03857     0.00002     0.00003     0.00000     0.00006
   -44.96257     0.00002     0.00003     0.00000     0.00006
   -44.88657     0.00002     0.00003     0.00000     0.00006
   -44.80957     0.00002     0.00003     0.00000     0.00006
   -44.73357     0.00002     0.00003     0.00000     0.00006
   -44.65657     0.00002     0.00003     0.00000     0.00006
   -44.58057     0.00002     0.00003     0.00000     0.00006
   -44.50357     0.00002     0.00003     0.00000     0.00006
   -44.42757     0.00002     0.00003     0.00000     0.00006
   -44.35057     0.00002     0.00003     0.00000     0.00006
   -44.27457     0.00002     0.00003     0.00000     0.00006
   -44.19757     0.00002     0.00003     0.00000     0.00006
   -44.12157     0.00002     0.00003     0.00000     0.00006
   -44.04457     0.00002     0.00003     0.00000     0.00006
   -43.96857     0.00002     0.00003     0.00000     0.00006
   -43.89257     0.00002     0.00003     0.00000     0.00006
   -43.81557     0.00002     0.00003     0.00000     0.00006
   -43.73957     0.00002     0.00003     0.00000     0.00006
   -43.66257     0.00002     0.00003     0.00000     0.00006
   -43.58657     0.00002     0.00003     0.00000     0.00006
   -43.50957     0.00002     0.00003     0.00000     0.00006
   -43.43357     0.00002     0.00003     0.00000     0.00006
   -43.35657     0.00002     0.00003     0.00000     0.00006
   -43.28057     0.00002     0.00003     0.00000     0.00006
   -43.20357     0.00002     0.00003     0.00000     0.00006
   -43.12757     0.00002     0.00003     0.00000     0.00006
   -43.05057     0.00002     0.00003     0.00000     0.00006
   -42.97457     0.00002     0.00003     0.00000     0.00006
   -42.89857     0.00002     0.00003     0.00000     0.00006
   -42.82157     0.00002     0.00003     0.00000     0.00006
   -42.74557     0.00002     0.00003     0.00000     0.00006
   -42.66857     0.00002     0.00003     0.00000     0.00006
   -42.59257     0.00002     0.00003     0.00000     0.00006
   -42.51557     0.00002     0.00003     0.00000     0.00006
   -42.43957     0.00002     0.00003     0.00000     0.00006
   -42.36257     0.00002     0.00003     0.00000     0.00006
   -42.28657     0.00002     0.00003     0.00000     0.00006
   -42.20957     0.00002     0.00003     0.00000     0.00006
   -42.13357     0.00002     0.00003     0.00000     0.00006
   -42.05657     0.00002     0.00003     0.00000     0.00006
   -41.98057     0.00002     0.00003     0.00000     0.00006
   -41.90357     0.00002     0.00003     0.00000     0.00006
   -41.82757     0.00002     0.00003     0.00000     0.00006
   -41.75157     0.00002     0.00003     0.00000     0.00006
   -41.67457     0.00002     0.00003     0.00000     0.00006
   -41.59857     0.00002     0.00003     0.00000     0.00006
   -41.52157     0.00002     0.00003     0.00000     0.00006
   -41.44557     0.00002     0.00003     0.00000     0.00006
   -41.36857     0.00002     0.00003     0.00000     0.00006
   -41.29257     0.00002     0.00003     0.00000     0.00006
   -41.21557     0.00002     0.00003     0.00000     0.00006
   -41.13957     0.00002     0.00003     0.00000     0.00006
   -41.06257     0.00002     0.00003     0.00000     0.00006
   -40.98657     0.00002     0.00003     0.00000     0.00006
   -40.90957     0.00002     0.00003     0.00000     0.00006
   -40.83357     0.00002     0.00003     0.00000     0.00006
   -40.75757     0.00002     0.00003     0.00000     0.00006
   -40.68057     0.00002     0.00003     0.00000     0.00006
   -40.60457     0.00002     0.00003     0.00000     0.00006
   -40.52757     0.00002     0.00003     0.00000     0.00006
   -40.45157     0.00002     0.00003     0.00000     0.00006
   -40.37457     0.00002     0.00003     0.00000     0.00006
   -40.29857     0.00002     0.00003     0.00000     0.00006
   -40.22157     0.00002     0.00003     0.00000     0.00006
   -40.14557     0.00002     0.00003     0.00000     0.00006
   -40.06857     0.00002     0.00003     0.00000     0.00006
   -39.99257     0.00002     0.00003     0.00000     0.00006
   -39.91557     0.00002     0.00003     0.00000     0.00006
   -39.83957     0.00002     0.00003     0.00000     0.00006
   -39.76257     0.00002     0.00003     0.00000     0.00006
   -39.68657     0.00002     0.00003     0.00000     0.00006
   -39.61057     0.00002     0.00003     0.00000     0.00006
   -39.53357     0.00002     0.00003     0.00000     0.00006
   -39.45757     0.00002     0.00003     0.00000     0.00006
   -39.38057     0.00002     0.00003     0.00000     0.00006
   -39.30457     0.00002     0.00003     0.00000     0.00006
   -39.22757     0.00002     0.00003     0.00000     0.00006
   -39.15157     0.00002     0.00003     0.00000     0.00006
   -39.07457     0.00002     0.00003     0.00000     0.00006
   -38.99857     0.00002     0.00003     0.00000     0.00006
   -38.92157     0.00002     0.00003     0.00000     0.00006
   -38.84557     0.00002     0.00003     0.00000     0.00006
   -38.76857     0.00002     0.00003     0.00000     0.00006
   -38.69257     0.00002     0.00003     0.00000     0.00006
   -38.61657     0.00002     0.00003     0.00000     0.00006
   -38.53957     0.00002     0.00003     0.00000     0.00006
   -38.46357     0.00002     0.00003     0.00000     0.00006
   -38.38657     0.00002     0.00003     0.00000     0.00006
   -38.31057     0.00002     0.00003     0.00000     0.00006
   -38.23357     0.00002     0.00003     0.00000     0.00006
   -38.15757     0.00002     0.00003     0.00000     0.00006
   -38.08057     0.00002     0.00003     0.00000     0.00006
   -38.00457     0.00002     0.00003     0.00000     0.00006
   -37.92757     0.00002     0.00003     0.00000     0.00006
   -37.85157     0.00002     0.00003     0.00000     0.00006
   -37.77457     0.00002     0.00003     0.00000     0.00006
   -37.69857     0.00002     0.00003     0.00000     0.00006
   -37.62157     0.00002     0.00003     0.00000     0.00006
   -37.54557     0.00002     0.00003     0.00000     0.00006
   -37.46957     0.00002     0.00003     0.00000     0.00006
   -37.39257     0.00002     0.00003     0.00000     0.00006
   -37.31657     0.00002     0.00003     0.00000     0.00006
   -37.23957     0.00002     0.00003     0.00000     0.00006
   -37.16357     0.00002     0.00003     0.00000     0.00006
   -37.08657     0.00002     0.00003     0.00000     0.00006
   -37.01057     0.00002     0.00003     0.00000     0.00006
   -36.93357     0.00002     0.00003     0.00000     0.00006
   -36.85757     0.00002     0.00003     0.00000     0.00006
   -36.78057     0.00002     0.00003     0.00000     0.00006
   -36.70457     0.00002     0.00003     0.00000     0.00006
   -36.62757     0.00002     0.00003     0.00000     0.00006
   -36.55157     0.00002     0.00003     0.00000     0.00006
   -36.47557     0.00002     0.00003     0.00000     0.00006
   -36.39857     0.00002     0.00003     0.00000     0.00006
   -36.32257     0.00002     0.00003     0.00000     0.00006
   -36.24557     0.00002     0.00003     0.00000     0.00006
   -36.16957     0.00002     0.00003     0.00000     0.00006
   -36.09257     0.00002     0.00003     0.00000     0.00006
   -36.01657     0.00002     0.00003     0.00000     0.00006
   -35.93957     0.00002     0.00003     0.00000     0.00006
   -35.86357     0.00002     0.00003     0.00000     0.00006
   -35.78657     0.00002     0.00003     0.00000     0.00006
   -35.71057     0.00002     0.00003     0.00000     0.00006
   -35.63357     0.00002     0.00003     0.00000     0.00006
   -35.55757     0.00002     0.00003     0.00000     0.00006
   -35.48057     0.00002     0.00003     0.00000     0.00006
   -35.40457     0.00002     0.00003     0.00000     0.00006
   -35.32857     0.00002     0.00003     0.00000     0.00006
   -35.25157     0.00002     0.00003     0.00000     0.00006
   -35.17557     0.00002     0.00003     0.00000     0.00006
   -35.09857     0.00002     0.00003     0.00000     0.00006
   -35.02257     0.00002     0.00003     0.00000     0.00006
   -34.94557     0.00002     0.00003     0.00000     0.00006
   -34.86957     0.00002     0.00003     0.00000     0.00006
   -34.79257     0.00002     0.00003     0.00000     0.00006
   -34.71657     0.00002     0.00003     0.00000     0.00006
   -34.63957     0.00002     0.00003     0.00000     0.00006
   -34.56357     0.00002     0.00003     0.00000     0.00006
   -34.48657     0.00002     0.00003     0.00000     0.00006
   -34.41057     0.00002     0.00003     0.00000     0.00006
   -34.33457     0.00002     0.00003     0.00000     0.00006
   -34.25757     0.00002     0.00003     0.00000     0.00006
   -34.18157     0.00002     0.00003     0.00000     0.00006
   -34.10457     0.00002     0.00003     0.00000     0.00006
   -34.02857     0.00002     0.00003     0.00000     0.00006
   -33.95157     0.00002     0.00003     0.00000     0.00006
   -33.87557     0.00002     0.00003     0.00000     0.00006
   -33.79857     0.00002     0.00003     0.00000     0.00006
   -33.72257     0.00002     0.00003     0.00000     0.00006
   -33.64557     0.00002     0.00003     0.00000     0.00006
   -33.56957     0.00002     0.00003     0.00000     0.00006
   -33.49257     0.00002     0.00003     0.00000     0.00006
   -33.41657     0.00002     0.00003     0.00000     0.00006
   -33.34057     0.00002     0.00003     0.00000     0.00006
   -33.26357     0.00002     0.00003     0.00000     0.00006
   -33.18757     0.00001     0.00003     0.00000     0.00004
   -33.11057     0.00001     0.00001     0.00000     0.00002
   -33.03457     0.00019     0.00015     0.00000     0.00033
   -32.95757     0.00064     0.00062     0.00000     0.00127
   -32.88157     0.00105     0.00116     0.00000     0.00221
   -32.80457     0.00121     0.00141     0.00000     0.00262
   -32.72857     0.00127     0.00150     0.00000     0.00277
   -32.65157     0.00132     0.00157     0.00000     0.00288
   -32.57557     0.00134     0.00162     0.00000     0.00297
   -32.49857     0.00136     0.00166     0.00000     0.00302
   -32.42257     0.00136     0.00167     0.00000     0.00303
   -32.34557     0.00136     0.00167     0.00000     0.00303
   -32.26957     0.00136     0.00167     0.00000     0.00303
   -32.19357     0.00136     0.00167     0.00000     0.00303
   -32.11657     0.00136     0.00167     0.00000     0.00303
   -32.04057     0.00136     0.00167     0.00000     0.00303
   -31.96357     0.00136     0.00167     0.00000     0.00303
   -31.88757     0.00136     0.00167     0.00000     0.00303
   -31.81057     0.00136     0.00167     0.00000     0.00303
   -31.73457     0.00136     0.00167     0.00000     0.00303
   -31.65757     0.00136     0.00167     0.00000     0.00303
   -31.58157     0.00136     0.00167     0.00000     0.00303
   -31.50457     0.00136     0.00167     0.00000     0.00303
   -31.42857     0.00136     0.00167     0.00000     0.00303
