     #Energy           s           p           d       tot  
   -60.10257     0.00000     0.00000     0.00000     0.00000
   -60.02557     0.00000     0.00000     0.00000     0.00000
   -59.94957     0.00000     0.00000     0.00000     0.00000
   -59.87357     0.00000     0.00000     0.00000     0.00000
   -59.79657     0.00000     0.00000     0.00000     0.00000
   -59.72057     0.00000     0.00000     0.00000     0.00000
   -59.64357     0.00000     0.00000     0.00000     0.00000
   -59.56757     0.00000     0.00000     0.00000     0.00000
   -59.49057     0.00000     0.00000     0.00000     0.00000
   -59.41457     0.00000     0.00000     0.00000     0.00000
   -59.33757     0.00000     0.00000     0.00000     0.00000
   -59.26157     0.00000     0.00000     0.00000     0.00000
   -59.18457     0.00000     0.00000     0.00000     0.00000
   -59.10857     0.00000     0.00000     0.00000     0.00000
   -59.03157     0.00000     0.00000     0.00000     0.00000
   -58.95557     0.00000     0.00000     0.00000     0.00000
   -58.87857     0.00000     0.00000     0.00000     0.00000
   -58.80257     0.00000     0.00000     0.00000     0.00000
   -58.72657     0.00000     0.00000     0.00000     0.00000
   -58.64957     0.00000     0.00000     0.00000     0.00000
   -58.57357     0.00000     0.00000     0.00000     0.00000
   -58.49657     0.00000     0.00000     0.00000     0.00000
   -58.42057     0.00000     0.00000     0.00000     0.00000
   -58.34357     0.00000     0.00000     0.00000     0.00000
   -58.26757     0.00000     0.00000     0.00000     0.00000
   -58.19057     0.00000     0.00000     0.00000     0.00000
   -58.11457     0.00000     0.00000     0.00000     0.00000
   -58.03757     0.00000     0.00000     0.00000     0.00000
   -57.96157     0.00000     0.00000     0.00000     0.00000
   -57.88457     0.00000     0.00000     0.00000     0.00000
   -57.80857     0.00000     0.00000     0.00000     0.00000
   -57.73257     0.00000     0.00000     0.00000     0.00000
   -57.65557     0.00000     0.00000     0.00000     0.00000
   -57.57957     0.00000     0.00000     0.00000     0.00000
   -57.50257    -0.00000    -0.00000    -0.00000    -0.00000
   -57.42657    -0.00000    -0.00000    -0.00000    -0.00000
   -57.34957    -0.00000    -0.00000    -0.00000    -0.00000
   -57.27357    -0.00000    -0.00000    -0.00000    -0.00000
   -57.19657    -0.00000    -0.00000    -0.00000    -0.00000
   -57.12057    -0.00000    -0.00000    -0.00000    -0.00000
   -57.04357    -0.00000    -0.00000    -0.00000    -0.00000
   -56.96757    -0.00001    -0.00000    -0.00000    -0.00001
   -56.89057    -0.00076    -0.00000    -0.00000    -0.00076
   -56.81457    -0.02294    -0.00000    -0.00000    -0.02294
   -56.73757    -0.18615    -0.00000    -0.00000    -0.18616
   -56.66157     0.00024    -0.00000    -0.00000     0.00023
   -56.58557     3.39921     0.00003     0.00003     3.39928
   -56.50857    10.39108     0.00010     0.00011    10.39129
   -56.43257    15.31842     0.00015     0.00017    15.31874
   -56.35557    16.17157     0.00016     0.00018    16.17191
   -56.27957    15.97029     0.00016     0.00018    15.97062
   -56.20257    15.91955     0.00015     0.00018    15.91988
   -56.12657    15.91694     0.00015     0.00018    15.91728
   -56.04957    15.91690     0.00015     0.00018    15.91724
   -55.97357    15.91690     0.00015     0.00018    15.91724
   -55.89657    15.91690     0.00015     0.00018    15.91724
   -55.82057    15.91690     0.00015     0.00018    15.91724
   -55.74357    15.91690     0.00015     0.00018    15.91724
   -55.66757    15.91690     0.00015     0.00018    15.91724
   -55.59157    15.91690     0.00015     0.00018    15.91724
   -55.51457    15.91690     0.00015     0.00018    15.91724
   -55.43857    15.91690     0.00015     0.00018    15.91724
   -55.36157    15.91690     0.00015     0.00018    15.91724
   -55.28557    15.91690     0.00015     0.00018    15.91724
   -55.20857    15.91690     0.00015     0.00018    15.91724
   -55.13257    15.91690     0.00015     0.00018    15.91724
   -55.05557    15.91690     0.00015     0.00018    15.91724
   -54.97957    15.91690     0.00015     0.00018    15.91724
   -54.90257    15.91690     0.00015     0.00018    15.91724
   -54.82657    15.91690     0.00015     0.00018    15.91724
   -54.74957    15.91690     0.00015     0.00018    15.91724
   -54.67357    15.91690     0.00015     0.00018    15.91724
   -54.59657    15.91690     0.00015     0.00018    15.91724
   -54.52057    15.91690     0.00015     0.00018    15.91724
   -54.44457    15.91690     0.00015     0.00018    15.91724
   -54.36757    15.91690     0.00015     0.00018    15.91724
   -54.29157    15.91690     0.00015     0.00018    15.91724
   -54.21457    15.91690     0.00015     0.00018    15.91724
   -54.13857    15.91690     0.00015     0.00018    15.91724
   -54.06157    15.91690     0.00015     0.00018    15.91724
   -53.98557    15.91690     0.00015     0.00018    15.91724
   -53.90857    15.91690     0.00015     0.00018    15.91724
   -53.83257    15.91690     0.00015     0.00018    15.91724
   -53.75557    15.91690     0.00015     0.00018    15.91724
   -53.67957    15.91690     0.00015     0.00018    15.91724
   -53.60257    15.91690     0.00015     0.00018    15.91724
   -53.52657    15.91690     0.00015     0.00018    15.91724
   -53.45057    15.91690     0.00015     0.00018    15.91724
   -53.37357    15.91690     0.00015     0.00018    15.91724
   -53.29757    15.91690     0.00015     0.00018    15.91724
   -53.22057    15.91690     0.00015     0.00018    15.91724
   -53.14457    15.91690     0.00015     0.00018    15.91724
   -53.06757    15.91690     0.00015     0.00018    15.91724
   -52.99157    15.91690     0.00015     0.00018    15.91724
   -52.91457    15.91690     0.00015     0.00018    15.91724
   -52.83857    15.91690     0.00015     0.00018    15.91724
   -52.76157    15.91690     0.00015     0.00018    15.91724
   -52.68557    15.91690     0.00015     0.00018    15.91724
   -52.60857    15.91690     0.00015     0.00018    15.91724
   -52.53257    15.91690     0.00015     0.00018    15.91724
   -52.45557    15.91690     0.00015     0.00018    15.91724
   -52.37957    15.91690     0.00015     0.00018    15.91724
   -52.30357    15.91690     0.00015     0.00018    15.91724
   -52.22657    15.91690     0.00015     0.00018    15.91724
   -52.15057    15.91690     0.00015     0.00018    15.91724
   -52.07357    15.91690     0.00015     0.00018    15.91724
   -51.99757    15.91690     0.00015     0.00018    15.91724
   -51.92057    15.91690     0.00015     0.00018    15.91724
   -51.84457    15.91690     0.00015     0.00018    15.91724
   -51.76757    15.91690     0.00015     0.00018    15.91724
   -51.69157    15.91690     0.00015     0.00018    15.91724
   -51.61457    15.91690     0.00015     0.00018    15.91724
   -51.53857    15.91690     0.00015     0.00018    15.91724
   -51.46157    15.91690     0.00015     0.00018    15.91724
   -51.38557    15.91690     0.00015     0.00018    15.91724
   -51.30957    15.91690     0.00015     0.00018    15.91724
   -51.23257    15.91690     0.00015     0.00018    15.91724
   -51.15657    15.91690     0.00015     0.00018    15.91724
   -51.07957    15.91690     0.00015     0.00018    15.91724
   -51.00357    15.91690     0.00015     0.00018    15.91724
   -50.92657    15.91690     0.00015     0.00018    15.91724
   -50.85057    15.91690     0.00015     0.00018    15.91724
   -50.77357    15.91690     0.00015     0.00018    15.91724
   -50.69757    15.91690     0.00015     0.00018    15.91724
   -50.62057    15.91690     0.00015     0.00018    15.91724
   -50.54457    15.91690     0.00015     0.00018    15.91724
   -50.46757    15.91690     0.00015     0.00018    15.91724
   -50.39157    15.91690     0.00015     0.00018    15.91724
   -50.31557    15.91690     0.00015     0.00018    15.91724
   -50.23857    15.91690     0.00015     0.00018    15.91724
   -50.16257    15.91690     0.00015     0.00018    15.91724
   -50.08557    15.91690     0.00015     0.00018    15.91724
   -50.00957    15.91690     0.00015     0.00018    15.91724
   -49.93257    15.91690     0.00015     0.00018    15.91724
   -49.85657    15.91690     0.00015     0.00018    15.91724
   -49.77957    15.91690     0.00015     0.00018    15.91724
   -49.70357    15.91690     0.00015     0.00018    15.91724
   -49.62657    15.91690     0.00015     0.00018    15.91724
   -49.55057    15.91690     0.00015     0.00018    15.91724
   -49.47357    15.91690     0.00015     0.00018    15.91724
   -49.39757    15.91690     0.00015     0.00018    15.91724
   -49.32057    15.91690     0.00015     0.00018    15.91724
   -49.24457    15.91690     0.00015     0.00018    15.91724
   -49.16857    15.91690     0.00015     0.00018    15.91724
   -49.09157    15.91690     0.00015     0.00018    15.91724
   -49.01557    15.91690     0.00015     0.00018    15.91724
   -48.93857    15.91690     0.00015     0.00018    15.91724
   -48.86257    15.91690     0.00015     0.00018    15.91724
   -48.78557    15.91690     0.00015     0.00018    15.91724
   -48.70957    15.91690     0.00015     0.00018    15.91724
   -48.63257    15.91690     0.00015     0.00018    15.91724
   -48.55657    15.91690     0.00015     0.00018    15.91724
   -48.47957    15.91690     0.00015     0.00018    15.91724
   -48.40357    15.91690     0.00015     0.00018    15.91724
   -48.32657    15.91690     0.00015     0.00018    15.91724
   -48.25057    15.91690     0.00015     0.00018    15.91724
   -48.17457    15.91690     0.00015     0.00018    15.91724
   -48.09757    15.91690     0.00015     0.00018    15.91724
   -48.02157    15.91690     0.00015     0.00018    15.91724
   -47.94457    15.91690     0.00015     0.00018    15.91724
   -47.86857    15.91690     0.00015     0.00018    15.91724
   -47.79157    15.91690     0.00015     0.00018    15.91724
   -47.71557    15.91690     0.00015     0.00018    15.91724
   -47.63857    15.91690     0.00015     0.00018    15.91724
   -47.56257    15.91690     0.00015     0.00018    15.91724
   -47.48557    15.91690     0.00015     0.00018    15.91724
   -47.40957    15.91690     0.00015     0.00018    15.91724
   -47.33257    15.91690     0.00015     0.00018    15.91724
   -47.25657    15.91690     0.00015     0.00018    15.91724
   -47.17957    15.91690     0.00015     0.00018    15.91724
   -47.10357    15.91690     0.00015     0.00018    15.91724
   -47.02757    15.91690     0.00015     0.00018    15.91724
   -46.95057    15.91690     0.00015     0.00018    15.91724
   -46.87457    15.91690     0.00015     0.00018    15.91724
   -46.79757    15.91690     0.00015     0.00018    15.91724
   -46.72157    15.91690     0.00015     0.00018    15.91724
   -46.64457    15.91690     0.00015     0.00018    15.91724
   -46.56857    15.91690     0.00015     0.00018    15.91724
   -46.49157    15.91690     0.00015     0.00018    15.91724
   -46.41557    15.91690     0.00015     0.00018    15.91724
   -46.33857    15.91690     0.00015     0.00018    15.91724
   -46.26257    15.91690     0.00015     0.00018    15.91724
   -46.18557    15.91690     0.00015     0.00018    15.91724
   -46.10957    15.91690     0.00015     0.00018    15.91724
   -46.03357    15.91690     0.00015     0.00018    15.91724
   -45.95657    15.91690     0.00015     0.00018    15.91724
   -45.88057    15.91690     0.00015     0.00018    15.91724
   -45.80357    15.91690     0.00015     0.00018    15.91724
   -45.72757    15.91690     0.00015     0.00018    15.91724
   -45.65057    15.91690     0.00015     0.00018    15.91724
   -45.57457    15.91690     0.00015     0.00018    15.91724
   -45.49757    15.91690     0.00015     0.00018    15.91724
   -45.42157    15.91690     0.00015     0.00018    15.91724
   -45.34457    15.91690     0.00015     0.00018    15.91724
   -45.26857    15.91690     0.00015     0.00018    15.91724
   -45.19157    15.91690     0.00015     0.00018    15.91724
   -45.11557    15.91690     0.00015     0.00018    15.91724
   -45.03857    15.91690     0.00015     0.00018    15.91724
   -44.96257    15.91690     0.00015     0.00018    15.91724
   -44.88657    15.91690     0.00015     0.00018    15.91724
   -44.80957    15.91690     0.00015     0.00018    15.91724
   -44.73357    15.91690     0.00015     0.00018    15.91724
   -44.65657    15.91690     0.00015     0.00018    15.91724
   -44.58057    15.91690     0.00015     0.00018    15.91724
   -44.50357    15.91690     0.00015     0.00018    15.91724
   -44.42757    15.91690     0.00015     0.00018    15.91724
   -44.35057    15.91690     0.00015     0.00018    15.91724
   -44.27457    15.91690     0.00015     0.00018    15.91724
   -44.19757    15.91690     0.00015     0.00018    15.91724
   -44.12157    15.91690     0.00015     0.00018    15.91724
   -44.04457    15.91690     0.00015     0.00018    15.91724
   -43.96857    15.91690     0.00015     0.00018    15.91724
   -43.89257    15.91690     0.00015     0.00018    15.91724
   -43.81557    15.91690     0.00015     0.00018    15.91724
   -43.73957    15.91690     0.00015     0.00018    15.91724
   -43.66257    15.91690     0.00015     0.00018    15.91724
   -43.58657    15.91690     0.00015     0.00018    15.91724
   -43.50957    15.91690     0.00015     0.00018    15.91724
   -43.43357    15.91690     0.00015     0.00018    15.91724
   -43.35657    15.91690     0.00015     0.00018    15.91724
   -43.28057    15.91690     0.00015     0.00018    15.91724
   -43.20357    15.91690     0.00015     0.00018    15.91724
   -43.12757    15.91690     0.00015     0.00018    15.91724
   -43.05057    15.91690     0.00015     0.00018    15.91724
   -42.97457    15.91690     0.00015     0.00018    15.91724
   -42.89857    15.91690     0.00015     0.00018    15.91724
   -42.82157    15.91690     0.00015     0.00018    15.91724
   -42.74557    15.91690     0.00015     0.00018    15.91724
   -42.66857    15.91690     0.00015     0.00018    15.91724
   -42.59257    15.91690     0.00015     0.00018    15.91724
   -42.51557    15.91690     0.00015     0.00018    15.91724
   -42.43957    15.91690     0.00015     0.00018    15.91724
   -42.36257    15.91690     0.00015     0.00018    15.91724
   -42.28657    15.91690     0.00015     0.00018    15.91724
   -42.20957    15.91690     0.00015     0.00018    15.91724
   -42.13357    15.91690     0.00015     0.00018    15.91724
   -42.05657    15.91690     0.00015     0.00018    15.91724
   -41.98057    15.91690     0.00015     0.00018    15.91724
   -41.90357    15.91690     0.00015     0.00018    15.91724
   -41.82757    15.91690     0.00015     0.00018    15.91724
   -41.75157    15.91690     0.00015     0.00018    15.91724
   -41.67457    15.91690     0.00015     0.00018    15.91724
   -41.59857    15.91690     0.00015     0.00018    15.91724
   -41.52157    15.91690     0.00015     0.00018    15.91724
   -41.44557    15.91690     0.00015     0.00018    15.91724
   -41.36857    15.91690     0.00015     0.00018    15.91724
   -41.29257    15.91690     0.00015     0.00018    15.91724
   -41.21557    15.91690     0.00015     0.00018    15.91724
   -41.13957    15.91690     0.00015     0.00018    15.91724
   -41.06257    15.91690     0.00015     0.00018    15.91724
   -40.98657    15.91690     0.00015     0.00018    15.91724
   -40.90957    15.91690     0.00015     0.00018    15.91724
   -40.83357    15.91690     0.00015     0.00018    15.91724
   -40.75757    15.91690     0.00015     0.00018    15.91724
   -40.68057    15.91690     0.00015     0.00018    15.91724
   -40.60457    15.91690     0.00015     0.00018    15.91724
   -40.52757    15.91690     0.00015     0.00018    15.91724
   -40.45157    15.91690     0.00015     0.00018    15.91724
   -40.37457    15.91690     0.00015     0.00018    15.91724
   -40.29857    15.91690     0.00015     0.00018    15.91724
   -40.22157    15.91690     0.00015     0.00018    15.91724
   -40.14557    15.91690     0.00015     0.00018    15.91724
   -40.06857    15.91690     0.00015     0.00018    15.91724
   -39.99257    15.91690     0.00015     0.00018    15.91724
   -39.91557    15.91690     0.00015     0.00018    15.91724
   -39.83957    15.91690     0.00015     0.00018    15.91724
   -39.76257    15.91690     0.00015     0.00018    15.91724
   -39.68657    15.91690     0.00015     0.00018    15.91724
   -39.61057    15.91690     0.00015     0.00018    15.91724
   -39.53357    15.91690     0.00015     0.00018    15.91724
   -39.45757    15.91690     0.00015     0.00018    15.91724
   -39.38057    15.91690     0.00015     0.00018    15.91724
   -39.30457    15.91690     0.00015     0.00018    15.91724
   -39.22757    15.91690     0.00015     0.00018    15.91724
   -39.15157    15.91690     0.00015     0.00018    15.91724
   -39.07457    15.91690     0.00015     0.00018    15.91724
   -38.99857    15.91690     0.00015     0.00018    15.91724
   -38.92157    15.91690     0.00015     0.00018    15.91724
   -38.84557    15.91690     0.00015     0.00018    15.91724
   -38.76857    15.91690     0.00015     0.00018    15.91724
   -38.69257    15.91690     0.00015     0.00018    15.91724
   -38.61657    15.91690     0.00015     0.00018    15.91724
   -38.53957    15.91690     0.00015     0.00018    15.91724
   -38.46357    15.91690     0.00015     0.00018    15.91724
   -38.38657    15.91690     0.00015     0.00018    15.91724
   -38.31057    15.91690     0.00015     0.00018    15.91724
   -38.23357    15.91690     0.00015     0.00018    15.91724
   -38.15757    15.91690     0.00015     0.00018    15.91724
   -38.08057    15.91690     0.00015     0.00018    15.91724
   -38.00457    15.91690     0.00015     0.00018    15.91724
   -37.92757    15.91690     0.00015     0.00018    15.91724
   -37.85157    15.91690     0.00015     0.00018    15.91724
   -37.77457    15.91690     0.00015     0.00018    15.91724
   -37.69857    15.91690     0.00015     0.00018    15.91724
   -37.62157    15.91690     0.00015     0.00018    15.91724
   -37.54557    15.91690     0.00015     0.00018    15.91724
   -37.46957    15.91690     0.00015     0.00018    15.91724
   -37.39257    15.91690     0.00015     0.00018    15.91724
   -37.31657    15.91690     0.00015     0.00018    15.91724
   -37.23957    15.91690     0.00015     0.00018    15.91724
   -37.16357    15.91690     0.00015     0.00018    15.91724
   -37.08657    15.91690     0.00015     0.00018    15.91724
   -37.01057    15.91690     0.00015     0.00018    15.91724
   -36.93357    15.91690     0.00015     0.00018    15.91724
   -36.85757    15.91690     0.00015     0.00018    15.91724
   -36.78057    15.91690     0.00015     0.00018    15.91724
   -36.70457    15.91690     0.00015     0.00018    15.91724
   -36.62757    15.91690     0.00015     0.00018    15.91724
   -36.55157    15.91690     0.00015     0.00018    15.91724
   -36.47557    15.91690     0.00015     0.00018    15.91724
   -36.39857    15.91690     0.00015     0.00018    15.91724
   -36.32257    15.91690     0.00015     0.00018    15.91724
   -36.24557    15.91690     0.00015     0.00018    15.91724
   -36.16957    15.91690     0.00015     0.00018    15.91724
   -36.09257    15.91690     0.00015     0.00018    15.91724
   -36.01657    15.91690     0.00015     0.00018    15.91724
   -35.93957    15.91690     0.00015     0.00018    15.91724
   -35.86357    15.91690     0.00015     0.00018    15.91724
   -35.78657    15.91690     0.00015     0.00018    15.91724
   -35.71057    15.91690     0.00015     0.00018    15.91724
   -35.63357    15.91690     0.00015     0.00018    15.91724
   -35.55757    15.91690     0.00015     0.00018    15.91724
   -35.48057    15.91690     0.00015     0.00018    15.91724
   -35.40457    15.91690     0.00015     0.00018    15.91724
   -35.32857    15.91690     0.00015     0.00018    15.91724
   -35.25157    15.91690     0.00015     0.00018    15.91724
   -35.17557    15.91690     0.00015     0.00018    15.91724
   -35.09857    15.91690     0.00015     0.00018    15.91724
   -35.02257    15.91690     0.00015     0.00018    15.91724
   -34.94557    15.91690     0.00015     0.00018    15.91724
   -34.86957    15.91690     0.00015     0.00018    15.91724
   -34.79257    15.91690     0.00015     0.00018    15.91724
   -34.71657    15.91690     0.00015     0.00018    15.91724
   -34.63957    15.91690     0.00015     0.00018    15.91724
   -34.56357    15.91690     0.00015     0.00018    15.91724
   -34.48657    15.91690     0.00015     0.00018    15.91724
   -34.41057    15.91690     0.00015     0.00018    15.91724
   -34.33457    15.91690     0.00015     0.00018    15.91724
   -34.25757    15.91690     0.00015     0.00018    15.91724
   -34.18157    15.91690     0.00015     0.00018    15.91724
   -34.10457    15.91690     0.00015     0.00018    15.91724
   -34.02857    15.91690     0.00015     0.00018    15.91724
   -33.95157    15.91690     0.00015     0.00018    15.91724
   -33.87557    15.91690     0.00015     0.00018    15.91724
   -33.79857    15.91690     0.00015     0.00018    15.91724
   -33.72257    15.91690     0.00015     0.00018    15.91724
   -33.64557    15.91690     0.00015     0.00018    15.91724
   -33.56957    15.91690     0.00015     0.00018    15.91724
   -33.49257    15.91690     0.00015     0.00018    15.91724
   -33.41657    15.91690     0.00015     0.00018    15.91724
   -33.34057    15.91690    -0.00005     0.00018    15.91703
   -33.26357    15.91690    -0.00928     0.00018    15.90780
   -33.18757    15.91690    -0.13237     0.00018    15.78471
   -33.11057    15.91690    -0.38256     0.00017    15.53451
   -33.03457    15.91691     1.83884     0.00019    17.75595
   -32.95757    15.91699    10.75699     0.00039    26.67437
   -32.88157    15.91721    22.32447     0.00081    38.24248
   -32.80457    15.91752    29.23803     0.00136    45.15691
   -32.72857    15.91786    32.68105     0.00196    48.60088
   -32.65157    15.91818    36.23969     0.00254    52.16041
   -32.57557    15.91842    40.95660     0.00300    56.87801
   -32.49857    15.91853    45.35450     0.00323    61.27626
   -32.42257    15.91855    47.21686     0.00327    63.13868
   -32.34557    15.91855    47.29204     0.00327    63.21385
   -32.26957    15.91855    47.19630     0.00326    63.11811
   -32.19357    15.91855    47.18403     0.00326    63.10584
   -32.11657    15.91855    47.18363     0.00326    63.10544
   -32.04057    15.91855    47.18363     0.00326    63.10544
   -31.96357    15.91855    47.18363     0.00326    63.10544
   -31.88757    15.91855    47.18363     0.00326    63.10544
   -31.81057    15.91855    47.18363     0.00326    63.10544
   -31.73457    15.91855    47.18363     0.00326    63.10544
   -31.65757    15.91855    47.18363     0.00326    63.10544
   -31.58157    15.91855    47.18363     0.00326    63.10544
   -31.50457    15.91855    47.18363     0.00326    63.10544
   -31.42857    15.91855    47.18363     0.00326    63.10544
