      #Energy        TDOS
     -60.10257       0.00000
     -60.02557       0.00000
     -59.94957       0.00000
     -59.87357       0.00000
     -59.79657       0.00000
     -59.72057       0.00000
     -59.64357       0.00000
     -59.56757       0.00000
     -59.49057       0.00000
     -59.41457       0.00000
     -59.33757       0.00000
     -59.26157       0.00000
     -59.18457       0.00000
     -59.10857       0.00000
     -59.03157       0.00000
     -58.95557       0.00000
     -58.87857       0.00000
     -58.80257       0.00000
     -58.72657       0.00000
     -58.64957       0.00000
     -58.57357       0.00000
     -58.49657       0.00000
     -58.42057       0.00000
     -58.34357       0.00000
     -58.26757       0.00000
     -58.19057       0.00000
     -58.11457       0.00000
     -58.03757       0.00000
     -57.96157       0.00000
     -57.88457       0.00000
     -57.80857       0.00000
     -57.73257       0.00000
     -57.65557       0.00000
     -57.57957       0.00000
     -57.50257      -0.00000
     -57.42657      -0.00000
     -57.34957      -0.00000
     -57.27357      -0.00000
     -57.19657      -0.00000
     -57.12057      -0.00000
     -57.04357      -0.00000
     -56.96757      -0.00001
     -56.89057      -0.00077
     -56.81457      -0.02307
     -56.73757      -0.18718
     -56.66157       0.00046
     -56.58557       3.41943
     -56.50857      10.44991
     -56.43257      15.40248
     -56.35557      16.25942
     -56.27957      16.05709
     -56.20257      16.00611
     -56.12657      16.00349
     -56.04957      16.00345
     -55.97357      16.00345
     -55.89657      16.00345
     -55.82057      16.00345
     -55.74357      16.00345
     -55.66757      16.00345
     -55.59157      16.00345
     -55.51457      16.00345
     -55.43857      16.00345
     -55.36157      16.00345
     -55.28557      16.00345
     -55.20857      16.00345
     -55.13257      16.00345
     -55.05557      16.00345
     -54.97957      16.00345
     -54.90257      16.00345
     -54.82657      16.00345
     -54.74957      16.00345
     -54.67357      16.00345
     -54.59657      16.00345
     -54.52057      16.00345
     -54.44457      16.00345
     -54.36757      16.00345
     -54.29157      16.00345
     -54.21457      16.00345
     -54.13857      16.00345
     -54.06157      16.00345
     -53.98557      16.00345
     -53.90857      16.00345
     -53.83257      16.00345
     -53.75557      16.00345
     -53.67957      16.00345
     -53.60257      16.00345
     -53.52657      16.00345
     -53.45057      16.00345
     -53.37357      16.00345
     -53.29757      16.00345
     -53.22057      16.00345
     -53.14457      16.00345
     -53.06757      16.00345
     -52.99157      16.00345
     -52.91457      16.00345
     -52.83857      16.00345
     -52.76157      16.00345
     -52.68557      16.00345
     -52.60857      16.00345
     -52.53257      16.00345
     -52.45557      16.00345
     -52.37957      16.00345
     -52.30357      16.00345
     -52.22657      16.00345
     -52.15057      16.00345
     -52.07357      16.00345
     -51.99757      16.00345
     -51.92057      16.00345
     -51.84457      16.00345
     -51.76757      16.00345
     -51.69157      16.00345
     -51.61457      16.00345
     -51.53857      16.00345
     -51.46157      16.00345
     -51.38557      16.00345
     -51.30957      16.00345
     -51.23257      16.00345
     -51.15657      16.00345
     -51.07957      16.00345
     -51.00357      16.00345
     -50.92657      16.00345
     -50.85057      16.00345
     -50.77357      16.00345
     -50.69757      16.00345
     -50.62057      16.00345
     -50.54457      16.00345
     -50.46757      16.00345
     -50.39157      16.00345
     -50.31557      16.00345
     -50.23857      16.00345
     -50.16257      16.00345
     -50.08557      16.00345
     -50.00957      16.00345
     -49.93257      16.00345
     -49.85657      16.00345
     -49.77957      16.00345
     -49.70357      16.00345
     -49.62657      16.00345
     -49.55057      16.00345
     -49.47357      16.00345
     -49.39757      16.00345
     -49.32057      16.00345
     -49.24457      16.00345
     -49.16857      16.00345
     -49.09157      16.00345
     -49.01557      16.00345
     -48.93857      16.00345
     -48.86257      16.00345
     -48.78557      16.00345
     -48.70957      16.00345
     -48.63257      16.00345
     -48.55657      16.00345
     -48.47957      16.00345
     -48.40357      16.00345
     -48.32657      16.00345
     -48.25057      16.00345
     -48.17457      16.00345
     -48.09757      16.00345
     -48.02157      16.00345
     -47.94457      16.00345
     -47.86857      16.00345
     -47.79157      16.00345
     -47.71557      16.00345
     -47.63857      16.00345
     -47.56257      16.00345
     -47.48557      16.00345
     -47.40957      16.00345
     -47.33257      16.00345
     -47.25657      16.00345
     -47.17957      16.00345
     -47.10357      16.00345
     -47.02757      16.00345
     -46.95057      16.00345
     -46.87457      16.00345
     -46.79757      16.00345
     -46.72157      16.00345
     -46.64457      16.00345
     -46.56857      16.00345
     -46.49157      16.00345
     -46.41557      16.00345
     -46.33857      16.00345
     -46.26257      16.00345
     -46.18557      16.00345
     -46.10957      16.00345
     -46.03357      16.00345
     -45.95657      16.00345
     -45.88057      16.00345
     -45.80357      16.00345
     -45.72757      16.00345
     -45.65057      16.00345
     -45.57457      16.00345
     -45.49757      16.00345
     -45.42157      16.00345
     -45.34457      16.00345
     -45.26857      16.00345
     -45.19157      16.00345
     -45.11557      16.00345
     -45.03857      16.00345
     -44.96257      16.00345
     -44.88657      16.00345
     -44.80957      16.00345
     -44.73357      16.00345
     -44.65657      16.00345
     -44.58057      16.00345
     -44.50357      16.00345
     -44.42757      16.00345
     -44.35057      16.00345
     -44.27457      16.00345
     -44.19757      16.00345
     -44.12157      16.00345
     -44.04457      16.00345
     -43.96857      16.00345
     -43.89257      16.00345
     -43.81557      16.00345
     -43.73957      16.00345
     -43.66257      16.00345
     -43.58657      16.00345
     -43.50957      16.00345
     -43.43357      16.00345
     -43.35657      16.00345
     -43.28057      16.00345
     -43.20357      16.00345
     -43.12757      16.00345
     -43.05057      16.00345
     -42.97457      16.00345
     -42.89857      16.00345
     -42.82157      16.00345
     -42.74557      16.00345
     -42.66857      16.00345
     -42.59257      16.00345
     -42.51557      16.00345
     -42.43957      16.00345
     -42.36257      16.00345
     -42.28657      16.00345
     -42.20957      16.00345
     -42.13357      16.00345
     -42.05657      16.00345
     -41.98057      16.00345
     -41.90357      16.00345
     -41.82757      16.00345
     -41.75157      16.00345
     -41.67457      16.00345
     -41.59857      16.00345
     -41.52157      16.00345
     -41.44557      16.00345
     -41.36857      16.00345
     -41.29257      16.00345
     -41.21557      16.00345
     -41.13957      16.00345
     -41.06257      16.00345
     -40.98657      16.00345
     -40.90957      16.00345
     -40.83357      16.00345
     -40.75757      16.00345
     -40.68057      16.00345
     -40.60457      16.00345
     -40.52757      16.00345
     -40.45157      16.00345
     -40.37457      16.00345
     -40.29857      16.00345
     -40.22157      16.00345
     -40.14557      16.00345
     -40.06857      16.00345
     -39.99257      16.00345
     -39.91557      16.00345
     -39.83957      16.00345
     -39.76257      16.00345
     -39.68657      16.00345
     -39.61057      16.00345
     -39.53357      16.00345
     -39.45757      16.00345
     -39.38057      16.00345
     -39.30457      16.00345
     -39.22757      16.00345
     -39.15157      16.00345
     -39.07457      16.00345
     -38.99857      16.00345
     -38.92157      16.00345
     -38.84557      16.00345
