 #      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      64.8415366      0.0000000      0.0000000     64.8415366
      10.000      64.8399238      0.4914383      1.0052849     64.8448381
      20.000      64.8280990      2.0820353      4.5504317     64.8697397
      30.000      64.7927109      5.3558457     13.2860957     64.9533863
      40.000      64.7125177     11.1464642     28.8026047     65.1583763
      50.000      64.5602932     19.7686653     50.0829956     65.5487265
      60.000      64.3081527     31.0805095     75.2422264     66.1729833
      70.000      63.9309957     44.6951771    102.2376652     67.0596581
      80.000      63.4082114     60.1211412    129.3011696     68.2179027
      90.000      62.7242002     76.8608272    155.1804967     69.6416747
     100.000      61.8681061     94.4698142    179.1458579     71.3150875
     110.000      60.8331373    112.5814960    200.8730475     73.2171019
     120.000      59.6157636    130.9093353    220.3059071     75.3248839
     130.000      58.2149543    149.2380186    237.5442806     77.6158967
     140.000      56.6315279    167.4108458    252.7666242     80.0690463
     150.000      54.8676296    185.3171688    266.1817229     82.6652049
     160.000      52.9263275    202.8814693    278.0009344     85.3873625
     170.000      50.8113066    220.0544944    288.4236152     88.2205707
     180.000      48.5266430    236.8063414    297.6304904     91.1517845
     190.000      46.0766376    253.1211886    305.7815587     94.1696634
     200.000      43.4656957    268.9933404    313.0164315     97.2643638
     210.000      40.6982420    284.4242878    319.4558650    100.4273424
     220.000      37.7786593    299.4205378    325.2037757    103.6511776
     230.000      34.7112474    313.9920183    330.3493565    106.9294116
     240.000      31.5001944    328.1509115    334.9690923    110.2564132
     250.000      28.1495592    341.9108044    339.1285883    113.6272603
     260.000      24.6632604    355.2860732    342.8841785    117.0376395
     270.000      21.0450708    368.2914408    346.2843167    120.4837598
     280.000      17.2986154    380.9416620    349.3707640    123.9622808
     290.000      13.4273728    393.2513016    352.1795975    127.4702502
     300.000       9.4346772    405.2345825    354.7420620    131.0050520
     310.000       5.3237230    416.9052841    357.0852879    134.5643611
     320.000       1.0975691    428.2766776    359.2328962    138.1461060
     330.000      -3.2408554    439.3614888    361.2055078    141.7484360
     340.000      -7.6887460    450.1718800    363.0211734    145.3696932
     350.000     -12.2434169    460.7194463    364.6957358    149.0083893
     360.000     -16.9022956    471.0152220    366.2431368    152.6631843
     370.000     -21.6629171    481.0696929    367.6756767    156.3328693
     380.000     -26.5229184    490.8928151    369.0042355    160.0163513
     390.000     -31.4800338    500.4940345    370.2384602    163.7126397
     400.000     -36.5320893    509.8823102    371.3869254    167.4208348
     410.000     -41.6769985    519.0661376    372.4572704    171.1401179
     420.000     -46.9127575    528.0535716    373.4563163    174.8697426
     430.000     -52.2374408    536.8522507    374.3901675    178.6090270
     440.000     -57.6491975    545.4694192    375.2642984    182.3573469
     450.000     -63.1462471    553.9119498    376.0836287    186.1141303
     460.000     -68.7268761    562.1863648    376.8525887    189.8788517
     470.000     -74.3894347    570.2988559    377.5751753    193.6510276
     480.000     -80.1323332    578.2553038    378.2550018    197.4302127
     490.000     -85.9540393    586.0612965    378.8953401    201.2159960
     500.000     -91.8530753    593.7221461    379.4991587    205.0079978
     510.000     -97.8280153    601.2429054    380.0691552    208.8058665
     520.000    -103.8774825    608.6283824    380.6077851    212.6092763
     530.000    -110.0001473    615.8831554    381.1172872    216.4179251
     540.000    -116.1947245    623.0115858    381.5997061    220.2315318
     550.000    -122.4599717    630.0178307    382.0569115    224.0498352
     560.000    -128.7946871    636.9058550    382.4906160    227.8725917
     570.000    -135.1977074    643.6794417    382.9023903    231.6995744
     580.000    -141.6679065    650.3422030    383.2936773    235.5305713
     590.000    -148.2041935    656.8975892    383.6658038    239.3653841
