  #K-Path    Energy        Ga        Ti        Al
# NKPTS & NBANDS: 180 128
# Band-Index:    1
    0.000  -56.7278     0.000     0.994     0.000
    0.029  -56.7278     0.000     0.994     0.000
    0.059  -56.7276     0.000     0.993     0.000
    0.088  -56.7273     0.000     0.994     0.000
    0.118  -56.7268     0.000     0.994     0.000
    0.147  -56.7263     0.000     0.995     0.000
    0.177  -56.7257     0.000     0.993     0.000
    0.206  -56.7250     0.000     0.993     0.000
    0.236  -56.7242     0.000     0.994     0.000
    0.265  -56.7234     0.000     0.994     0.000
    0.295  -56.7225     0.000     0.993     0.000
    0.324  -56.7216     0.000     0.994     0.000
    0.354  -56.7208     0.000     0.995     0.000
    0.383  -56.7200     0.000     0.995     0.000
    0.413  -56.7192     0.000     0.994     0.000
    0.442  -56.7186     0.000     0.994     0.000
    0.472  -56.7180     0.000     0.995     0.000
    0.501  -56.7176     0.000     0.994     0.000
    0.531  -56.7174     0.000     0.994     0.000
    0.560  -56.7173     0.000     0.995     0.000
    0.560  -56.7173     0.000     0.995     0.000
    0.590  -56.7172     0.000     0.994     0.000
    0.619  -56.7170     0.000     0.994     0.000
    0.649  -56.7166     0.000     0.994     0.000
    0.678  -56.7161     0.000     0.995     0.000
    0.708  -56.7155     0.000     0.994     0.000
    0.737  -56.7147     0.000     0.994     0.000
    0.767  -56.7138     0.000     0.995     0.000
    0.796  -56.7129     0.000     0.994     0.000
    0.826  -56.7118     0.000     0.994     0.000
    0.855  -56.7107     0.000     0.994     0.000
    0.885  -56.7097     0.000     0.995     0.000
    0.914  -56.7086     0.000     0.994     0.000
    0.944  -56.7075     0.000     0.995     0.000
    0.973  -56.7066     0.000     0.995     0.000
    1.003  -56.7057     0.000     0.995     0.000
    1.032  -56.7050     0.000     0.995     0.000
    1.062  -56.7045     0.000     0.995     0.000
    1.091  -56.7041     0.000     0.995     0.000
    1.121  -56.7040     0.000     0.995     0.000
    1.121  -56.7040     0.000     0.995     0.000
    1.162  -56.7042     0.000     0.995     0.000
    1.204  -56.7049     0.000     0.995     0.000
    1.246  -56.7060     0.000     0.996     0.000
    1.287  -56.7074     0.000     0.994     0.000
    1.329  -56.7090     0.000     0.995     0.000
    1.371  -56.7108     0.000     0.995     0.000
    1.413  -56.7128     0.000     0.995     0.000
    1.454  -56.7147     0.000     0.994     0.000
    1.496  -56.7167     0.000     0.995     0.000
    1.538  -56.7186     0.000     0.994     0.000
    1.579  -56.7203     0.000     0.994     0.000
    1.621  -56.7220     0.000     0.993     0.000
    1.663  -56.7235     0.000     0.994     0.000
    1.704  -56.7248     0.000     0.994     0.000
    1.746  -56.7258     0.000     0.994     0.000
    1.788  -56.7267     0.000     0.995     0.000
    1.830  -56.7273     0.000     0.994     0.000
    1.871  -56.7277     0.000     0.994     0.000
    1.913  -56.7278     0.000     0.994     0.000
    1.913  -56.7278     0.000     0.994     0.000
    1.933  -56.7278     0.000     0.994     0.000
    1.953  -56.7278     0.000     0.994     0.000
    1.973  -56.7278     0.000     0.994     0.000
    1.993  -56.7278     0.000     0.994     0.000
    2.013  -56.7278     0.000     0.994     0.000
    2.033  -56.7278     0.000     0.994     0.000
    2.053  -56.7278     0.000     0.994     0.000
    2.073  -56.7278     0.000     0.994     0.000
    2.094  -56.7278     0.000     0.994     0.000
    2.114  -56.7278     0.000     0.994     0.000
    2.134  -56.7278     0.000     0.994     0.000
    2.154  -56.7278     0.000     0.994     0.000
    2.174  -56.7278     0.000     0.994     0.000
    2.194  -56.7278     0.000     0.994     0.000
    2.214  -56.7278     0.000     0.994     0.000
    2.234  -56.7278     0.000     0.994     0.000
    2.254  -56.7278     0.000     0.994     0.000
    2.274  -56.7278     0.000     0.994     0.000
    2.294  -56.7278     0.000     0.994     0.000
    2.294  -56.7278     0.000     0.994     0.000
    2.324  -56.7277     0.000     0.994     0.000
    2.353  -56.7276     0.000     0.993     0.000
    2.383  -56.7273     0.000     0.994     0.000
    2.412  -56.7268     0.000     0.994     0.000
    2.442  -56.7263     0.000     0.995     0.000
    2.471  -56.7257     0.000     0.993     0.000
    2.501  -56.7250     0.000     0.993     0.000
    2.530  -56.7242     0.000     0.994     0.000
    2.560  -56.7234     0.000     0.994     0.000
    2.589  -56.7225     0.000     0.993     0.000
    2.619  -56.7216     0.000     0.994     0.000
    2.648  -56.7208     0.000     0.995     0.000
    2.678  -56.7200     0.000     0.995     0.000
    2.707  -56.7192     0.000     0.994     0.000
    2.737  -56.7186     0.000     0.994     0.000
    2.766  -56.7180     0.000     0.995     0.000
    2.796  -56.7176     0.000     0.994     0.000
    2.825  -56.7174     0.000     0.994     0.000
