     #Energy           s           p           d       tot  
   -60.25989     0.00000     0.00000     0.00000     0.00000
   -60.18189     0.00000     0.00000     0.00000     0.00000
   -60.10489     0.00000     0.00000     0.00000     0.00000
   -60.02689     0.00000     0.00000     0.00000     0.00000
   -59.94989     0.00000     0.00000     0.00000     0.00000
   -59.87189     0.00000     0.00000     0.00000     0.00000
   -59.79489     0.00000     0.00000     0.00000     0.00000
   -59.71689     0.00000     0.00000     0.00000     0.00000
   -59.63989     0.00000     0.00000     0.00000     0.00000
   -59.56189     0.00000     0.00000     0.00000     0.00000
   -59.48489     0.00000     0.00000     0.00000     0.00000
   -59.40689     0.00000     0.00000     0.00000     0.00000
   -59.32989     0.00000     0.00000     0.00000     0.00000
   -59.25189     0.00000     0.00000     0.00000     0.00000
   -59.17489     0.00000     0.00000     0.00000     0.00000
   -59.09689     0.00000     0.00000     0.00000     0.00000
   -59.01989     0.00000     0.00000     0.00000     0.00000
   -58.94189     0.00000     0.00000     0.00000     0.00000
   -58.86489     0.00000     0.00000     0.00000     0.00000
   -58.78689     0.00000     0.00000     0.00000     0.00000
   -58.70989     0.00000     0.00000     0.00000     0.00000
   -58.63189     0.00000     0.00000     0.00000     0.00000
   -58.55489     0.00000     0.00000     0.00000     0.00000
   -58.47689     0.00000     0.00000     0.00000     0.00000
   -58.39989     0.00000     0.00000     0.00000     0.00000
   -58.32189     0.00000     0.00000     0.00000     0.00000
   -58.24489     0.00000     0.00000     0.00000     0.00000
   -58.16689     0.00000     0.00000     0.00000     0.00000
   -58.08989     0.00000     0.00000     0.00000     0.00000
   -58.01289     0.00000     0.00000     0.00000     0.00000
   -57.93489     0.00000     0.00000     0.00000     0.00000
   -57.85789     0.00000     0.00000     0.00000     0.00000
   -57.77989     0.00000     0.00000     0.00000     0.00000
   -57.70289     0.00000     0.00000     0.00000     0.00000
   -57.62489     0.00000     0.00000     0.00000     0.00000
   -57.54789    -0.00000    -0.00000    -0.00000    -0.00000
   -57.46989    -0.00000    -0.00000    -0.00000    -0.00000
   -57.39289    -0.00000    -0.00000    -0.00000    -0.00000
   -57.31489    -0.00000    -0.00000    -0.00000    -0.00000
   -57.23789    -0.00000    -0.00000    -0.00000    -0.00000
   -57.15989    -0.00000    -0.00000    -0.00000    -0.00000
   -57.08289    -0.00001    -0.00000    -0.00000    -0.00001
   -57.00489    -0.00056    -0.00000    -0.00000    -0.00056
   -56.92789    -0.01544    -0.00000    -0.00000    -0.01544
   -56.84989    -0.10061    -0.00000    -0.00000    -0.10061
   -56.77289     0.08901    -0.00000     0.00000     0.08901
   -56.69489     1.92632     0.00001     0.00001     1.92635
   -56.61789     5.77531     0.00005     0.00005     5.77540
   -56.53989     9.24523     0.00008     0.00009     9.24540
   -56.46289    11.35262     0.00011     0.00011    11.35283
   -56.38489    13.04068     0.00012     0.00013    13.04093
   -56.30789    13.91817     0.00013     0.00014    13.91844
   -56.22989    13.97892     0.00013     0.00014    13.97919
   -56.15289    13.93507     0.00013     0.00014    13.93534
   -56.07489    13.92933     0.00013     0.00014    13.92960
   -55.99789    13.92916     0.00013     0.00014    13.92943
   -55.91989    13.92916     0.00013     0.00014    13.92943
   -55.84289    13.92916     0.00013     0.00014    13.92943
   -55.76489    13.92916     0.00013     0.00014    13.92943
   -55.68789    13.92916     0.00013     0.00014    13.92943
   -55.61089    13.92916     0.00013     0.00014    13.92943
   -55.53289    13.92916     0.00013     0.00014    13.92943
   -55.45589    13.92916     0.00013     0.00014    13.92943
   -55.37789    13.92916     0.00013     0.00014    13.92943
   -55.30089    13.92916     0.00013     0.00014    13.92943
   -55.22289    13.92916     0.00013     0.00014    13.92943
   -55.14589    13.92916     0.00013     0.00014    13.92943
   -55.06789    13.92916     0.00013     0.00014    13.92943
   -54.99089    13.92916     0.00013     0.00014    13.92943
   -54.91289    13.92916     0.00013     0.00014    13.92943
   -54.83589    13.92916     0.00013     0.00014    13.92943
   -54.75789    13.92916     0.00013     0.00014    13.92943
   -54.68089    13.92916     0.00013     0.00014    13.92943
   -54.60289    13.92916     0.00013     0.00014    13.92943
   -54.52589    13.92916     0.00013     0.00014    13.92943
   -54.44789    13.92916     0.00013     0.00014    13.92943
   -54.37089    13.92916     0.00013     0.00014    13.92943
   -54.29289    13.92916     0.00013     0.00014    13.92943
   -54.21589    13.92916     0.00013     0.00014    13.92943
   -54.13789    13.92916     0.00013     0.00014    13.92943
   -54.06089    13.92916     0.00013     0.00014    13.92943
   -53.98289    13.92916     0.00013     0.00014    13.92943
   -53.90589    13.92916     0.00013     0.00014    13.92943
   -53.82789    13.92916     0.00013     0.00014    13.92943
   -53.75089    13.92916     0.00013     0.00014    13.92943
   -53.67289    13.92916     0.00013     0.00014    13.92943
   -53.59589    13.92916     0.00013     0.00014    13.92943
   -53.51789    13.92916     0.00013     0.00014    13.92943
   -53.44089    13.92916     0.00013     0.00014    13.92943
   -53.36389    13.92916     0.00013     0.00014    13.92943
   -53.28589    13.92916     0.00013     0.00014    13.92943
   -53.20889    13.92916     0.00013     0.00014    13.92943
   -53.13089    13.92916     0.00013     0.00014    13.92943
   -53.05389    13.92916     0.00013     0.00014    13.92943
   -52.97589    13.92916     0.00013     0.00014    13.92943
   -52.89889    13.92916     0.00013     0.00014    13.92943
   -52.82089    13.92916     0.00013     0.00014    13.92943
   -52.74389    13.92916     0.00013     0.00014    13.92943
   -52.66589    13.92916     0.00013     0.00014    13.92943
   -52.58889    13.92916     0.00013     0.00014    13.92943
   -52.51089    13.92916     0.00013     0.00014    13.92943
   -52.43389    13.92916     0.00013     0.00014    13.92943
   -52.35589    13.92916     0.00013     0.00014    13.92943
   -52.27889    13.92916     0.00013     0.00014    13.92943
   -52.20089    13.92916     0.00013     0.00014    13.92943
   -52.12389    13.92916     0.00013     0.00014    13.92943
   -52.04589    13.92916     0.00013     0.00014    13.92943
   -51.96889    13.92916     0.00013     0.00014    13.92943
   -51.89089    13.92916     0.00013     0.00014    13.92943
   -51.81389    13.92916     0.00013     0.00014    13.92943
   -51.73589    13.92916     0.00013     0.00014    13.92943
   -51.65889    13.92916     0.00013     0.00014    13.92943
   -51.58089    13.92916     0.00013     0.00014    13.92943
   -51.50389    13.92916     0.00013     0.00014    13.92943
   -51.42589    13.92916     0.00013     0.00014    13.92943
   -51.34889    13.92916     0.00013     0.00014    13.92943
   -51.27089    13.92916     0.00013     0.00014    13.92943
   -51.19389    13.92916     0.00013     0.00014    13.92943
   -51.11589    13.92916     0.00013     0.00014    13.92943
   -51.03889    13.92916     0.00013     0.00014    13.92943
   -50.96189    13.92916     0.00013     0.00014    13.92943
   -50.88389    13.92916     0.00013     0.00014    13.92943
   -50.80689    13.92916     0.00013     0.00014    13.92943
   -50.72889    13.92916     0.00013     0.00014    13.92943
   -50.65189    13.92916     0.00013     0.00014    13.92943
   -50.57389    13.92916     0.00013     0.00014    13.92943
   -50.49689    13.92916     0.00013     0.00014    13.92943
   -50.41889    13.92916     0.00013     0.00014    13.92943
   -50.34189    13.92916     0.00013     0.00014    13.92943
   -50.26389    13.92916     0.00013     0.00014    13.92943
   -50.18689    13.92916     0.00013     0.00014    13.92943
   -50.10889    13.92916     0.00013     0.00014    13.92943
   -50.03189    13.92916     0.00013     0.00014    13.92943
   -49.95389    13.92916     0.00013     0.00014    13.92943
   -49.87689    13.92916     0.00013     0.00014    13.92943
   -49.79889    13.92916     0.00013     0.00014    13.92943
   -49.72189    13.92916     0.00013     0.00014    13.92943
   -49.64389    13.92916     0.00013     0.00014    13.92943
   -49.56689    13.92916     0.00013     0.00014    13.92943
   -49.48889    13.92916     0.00013     0.00014    13.92943
   -49.41189    13.92916     0.00013     0.00014    13.92943
   -49.33389    13.92916     0.00013     0.00014    13.92943
   -49.25689    13.92916     0.00013     0.00014    13.92943
   -49.17889    13.92916     0.00013     0.00014    13.92943
   -49.10189    13.92916     0.00013     0.00014    13.92943
   -49.02389    13.92916     0.00013     0.00014    13.92943
   -48.94689    13.92916     0.00013     0.00014    13.92943
   -48.86889    13.92916     0.00013     0.00014    13.92943
   -48.79189    13.92916     0.00013     0.00014    13.92943
   -48.71489    13.92916     0.00013     0.00014    13.92943
   -48.63689    13.92916     0.00013     0.00014    13.92943
   -48.55989    13.92916     0.00013     0.00014    13.92943
   -48.48189    13.92916     0.00013     0.00014    13.92943
   -48.40489    13.92916     0.00013     0.00014    13.92943
   -48.32689    13.92916     0.00013     0.00014    13.92943
   -48.24989    13.92916     0.00013     0.00014    13.92943
   -48.17189    13.92916     0.00013     0.00014    13.92943
   -48.09489    13.92916     0.00013     0.00014    13.92943
   -48.01689    13.92916     0.00013     0.00014    13.92943
   -47.93989    13.92916     0.00013     0.00014    13.92943
   -47.86189    13.92916     0.00013     0.00014    13.92943
   -47.78489    13.92916     0.00013     0.00014    13.92943
   -47.70689    13.92916     0.00013     0.00014    13.92943
   -47.62989    13.92916     0.00013     0.00014    13.92943
   -47.55189    13.92916     0.00013     0.00014    13.92943
   -47.47489    13.92916     0.00013     0.00014    13.92943
   -47.39689    13.92916     0.00013     0.00014    13.92943
   -47.31989    13.92916     0.00013     0.00014    13.92943
   -47.24189    13.92916     0.00013     0.00014    13.92943
   -47.16489    13.92916     0.00013     0.00014    13.92943
   -47.08689    13.92916     0.00013     0.00014    13.92943
   -47.00989    13.92916     0.00013     0.00014    13.92943
   -46.93189    13.92916     0.00013     0.00014    13.92943
   -46.85489    13.92916     0.00013     0.00014    13.92943
   -46.77689    13.92916     0.00013     0.00014    13.92943
   -46.69989    13.92916     0.00013     0.00014    13.92943
   -46.62189    13.92916     0.00013     0.00014    13.92943
   -46.54489    13.92916     0.00013     0.00014    13.92943
   -46.46689    13.92916     0.00013     0.00014    13.92943
   -46.38989    13.92916     0.00013     0.00014    13.92943
   -46.31289    13.92916     0.00013     0.00014    13.92943
   -46.23489    13.92916     0.00013     0.00014    13.92943
   -46.15789    13.92916     0.00013     0.00014    13.92943
   -46.07989    13.92916     0.00013     0.00014    13.92943
   -46.00289    13.92916     0.00013     0.00014    13.92943
   -45.92489    13.92916     0.00013     0.00014    13.92943
   -45.84789    13.92916     0.00013     0.00014    13.92943
   -45.76989    13.92916     0.00013     0.00014    13.92943
   -45.69289    13.92916     0.00013     0.00014    13.92943
   -45.61489    13.92916     0.00013     0.00014    13.92943
   -45.53789    13.92916     0.00013     0.00014    13.92943
