      #Energy        TDOS
     -60.25989       0.00000
     -60.18189       0.00000
     -60.10489       0.00000
     -60.02689       0.00000
     -59.94989       0.00000
     -59.87189       0.00000
     -59.79489       0.00000
     -59.71689       0.00000
     -59.63989       0.00000
     -59.56189       0.00000
     -59.48489       0.00000
     -59.40689       0.00000
     -59.32989       0.00000
     -59.25189       0.00000
     -59.17489       0.00000
     -59.09689       0.00000
     -59.01989       0.00000
     -58.94189       0.00000
     -58.86489       0.00000
     -58.78689       0.00000
     -58.70989       0.00000
     -58.63189       0.00000
     -58.55489       0.00000
     -58.47689       0.00000
     -58.39989       0.00000
     -58.32189       0.00000
     -58.24489       0.00000
     -58.16689       0.00000
     -58.08989       0.00000
     -58.01289       0.00000
     -57.93489       0.00000
     -57.85789       0.00000
     -57.77989       0.00000
     -57.70289       0.00000
     -57.62489       0.00000
     -57.54789      -0.00000
     -57.46989      -0.00000
     -57.39289      -0.00000
     -57.31489      -0.00000
     -57.23789      -0.00000
     -57.15989      -0.00000
     -57.08289      -0.00001
     -57.00489      -0.00056
     -56.92789      -0.01552
     -56.84989      -0.10114
     -56.77289       0.08954
     -56.69489       1.93675
     -56.61789       5.80588
     -56.53989       9.29340
     -56.46289      11.41102
     -56.38489      13.10714
     -56.30789      13.98882
     -56.22989      14.04984
     -56.15289      14.00578
     -56.07489      14.00001
     -55.99789      13.99984
     -55.91989      13.99984
     -55.84289      13.99984
     -55.76489      13.99984
     -55.68789      13.99984
     -55.61089      13.99984
     -55.53289      13.99984
     -55.45589      13.99984
     -55.37789      13.99984
     -55.30089      13.99984
     -55.22289      13.99984
     -55.14589      13.99984
     -55.06789      13.99984
     -54.99089      13.99984
     -54.91289      13.99984
     -54.83589      13.99984
     -54.75789      13.99984
     -54.68089      13.99984
     -54.60289      13.99984
     -54.52589      13.99984
     -54.44789      13.99984
     -54.37089      13.99984
     -54.29289      13.99984
     -54.21589      13.99984
     -54.13789      13.99984
     -54.06089      13.99984
     -53.98289      13.99984
     -53.90589      13.99984
     -53.82789      13.99984
     -53.75089      13.99984
     -53.67289      13.99984
     -53.59589      13.99984
     -53.51789      13.99984
     -53.44089      13.99984
     -53.36389      13.99984
     -53.28589      13.99984
     -53.20889      13.99984
     -53.13089      13.99984
     -53.05389      13.99984
     -52.97589      13.99984
     -52.89889      13.99984
     -52.82089      13.99984
     -52.74389      13.99984
     -52.66589      13.99984
     -52.58889      13.99984
     -52.51089      13.99984
     -52.43389      13.99984
     -52.35589      13.99984
     -52.27889      13.99984
     -52.20089      13.99984
     -52.12389      13.99984
     -52.04589      13.99984
     -51.96889      13.99984
     -51.89089      13.99984
     -51.81389      13.99984
     -51.73589      13.99984
     -51.65889      13.99984
     -51.58089      13.99984
     -51.50389      13.99984
     -51.42589      13.99984
     -51.34889      13.99984
     -51.27089      13.99984
     -51.19389      13.99984
     -51.11589      13.99984
     -51.03889      13.99984
     -50.96189      13.99984
     -50.88389      13.99984
     -50.80689      13.99984
     -50.72889      13.99984
     -50.65189      13.99984
     -50.57389      13.99984
     -50.49689      13.99984
     -50.41889      13.99984
     -50.34189      13.99984
     -50.26389      13.99984
     -50.18689      13.99984
     -50.10889      13.99984
     -50.03189      13.99984
     -49.95389      13.99984
     -49.87689      13.99984
     -49.79889      13.99984
     -49.72189      13.99984
     -49.64389      13.99984
     -49.56689      13.99984
     -49.48889      13.99984
     -49.41189      13.99984
     -49.33389      13.99984
     -49.25689      13.99984
     -49.17889      13.99984
     -49.10189      13.99984
     -49.02389      13.99984
     -48.94689      13.99984
     -48.86889      13.99984
     -48.79189      13.99984
     -48.71489      13.99984
     -48.63689      13.99984
     -48.55989      13.99984
     -48.48189      13.99984
     -48.40489      13.99984
     -48.32689      13.99984
     -48.24989      13.99984
     -48.17189      13.99984
     -48.09489      13.99984
     -48.01689      13.99984
     -47.93989      13.99984
     -47.86189      13.99984
     -47.78489      13.99984
     -47.70689      13.99984
     -47.62989      13.99984
