     #Energy           s           p           d       tot  
   -60.25989     0.00000     0.00000     0.00000     0.00000
   -60.18189     0.00000     0.00000     0.00000     0.00000
   -60.10489     0.00000     0.00000     0.00000     0.00000
   -60.02689     0.00000     0.00000     0.00000     0.00000
   -59.94989     0.00000     0.00000     0.00000     0.00000
   -59.87189     0.00000     0.00000     0.00000     0.00000
   -59.79489     0.00000     0.00000     0.00000     0.00000
   -59.71689     0.00000     0.00000     0.00000     0.00000
   -59.63989     0.00000     0.00000     0.00000     0.00000
   -59.56189     0.00000     0.00000     0.00000     0.00000
   -59.48489     0.00000     0.00000     0.00000     0.00000
   -59.40689     0.00000     0.00000     0.00000     0.00000
   -59.32989     0.00000     0.00000     0.00000     0.00000
   -59.25189     0.00000     0.00000     0.00000     0.00000
   -59.17489     0.00000     0.00000     0.00000     0.00000
   -59.09689     0.00000     0.00000     0.00000     0.00000
   -59.01989     0.00000     0.00000     0.00000     0.00000
   -58.94189     0.00000     0.00000     0.00000     0.00000
   -58.86489     0.00000     0.00000     0.00000     0.00000
   -58.78689     0.00000     0.00000     0.00000     0.00000
   -58.70989     0.00000     0.00000     0.00000     0.00000
   -58.63189     0.00000     0.00000     0.00000     0.00000
   -58.55489     0.00000     0.00000     0.00000     0.00000
   -58.47689     0.00000     0.00000     0.00000     0.00000
   -58.39989     0.00000     0.00000     0.00000     0.00000
   -58.32189     0.00000     0.00000     0.00000     0.00000
   -58.24489     0.00000     0.00000     0.00000     0.00000
   -58.16689     0.00000     0.00000     0.00000     0.00000
   -58.08989     0.00000     0.00000     0.00000     0.00000
   -58.01289     0.00000     0.00000     0.00000     0.00000
   -57.93489     0.00000     0.00000     0.00000     0.00000
   -57.85789     0.00000     0.00000     0.00000     0.00000
   -57.77989     0.00000     0.00000     0.00000     0.00000
   -57.70289     0.00000     0.00000     0.00000     0.00000
   -57.62489     0.00000     0.00000     0.00000     0.00000
   -57.54789    -0.00000    -0.00000    -0.00000    -0.00000
   -57.46989    -0.00000    -0.00000    -0.00000    -0.00000
   -57.39289    -0.00000    -0.00000    -0.00000    -0.00000
   -57.31489    -0.00000    -0.00000    -0.00000    -0.00000
   -57.23789    -0.00000    -0.00000    -0.00000    -0.00000
   -57.15989    -0.00000    -0.00000    -0.00000    -0.00000
   -57.08289    -0.00014    -0.00000    -0.00000    -0.00014
   -57.00489    -0.01405    -0.00000    -0.00000    -0.01405
   -56.92789    -0.37004    -0.00000    -0.00000    -0.37005
   -56.84989    -1.82845    -0.00001    -0.00001    -1.82848
   -56.77289     6.72286     0.00003     0.00004     6.72292
   -56.69489    40.70188     0.00029     0.00032    40.70249
   -56.61789    58.64813     0.00057     0.00059    58.64928
   -56.53989    30.91740     0.00035     0.00035    30.91810
   -56.46289    23.47850     0.00027     0.00025    23.47903
   -56.38489    20.09374     0.00023     0.00022    20.09418
   -56.30789     2.55611     0.00003     0.00003     2.55617
   -56.22989    -0.98809    -0.00001    -0.00001    -0.98812
   -56.15289    -0.14377    -0.00000    -0.00000    -0.14378
   -56.07489    -0.00433    -0.00000    -0.00000    -0.00433
   -55.99789    -0.00003    -0.00000    -0.00000    -0.00003
   -55.91989    -0.00000    -0.00000    -0.00000    -0.00000
   -55.84289    -0.00000    -0.00000    -0.00000    -0.00000
   -55.76489    -0.00000    -0.00000    -0.00000    -0.00000
   -55.68789     0.00000     0.00000     0.00000     0.00000
   -55.61089     0.00000     0.00000     0.00000     0.00000
   -55.53289     0.00000     0.00000     0.00000     0.00000
   -55.45589     0.00000     0.00000     0.00000     0.00000
   -55.37789     0.00000     0.00000     0.00000     0.00000
   -55.30089     0.00000     0.00000     0.00000     0.00000
   -55.22289     0.00000     0.00000     0.00000     0.00000
   -55.14589     0.00000     0.00000     0.00000     0.00000
   -55.06789     0.00000     0.00000     0.00000     0.00000
   -54.99089     0.00000     0.00000     0.00000     0.00000
   -54.91289     0.00000     0.00000     0.00000     0.00000
   -54.83589     0.00000     0.00000     0.00000     0.00000
   -54.75789     0.00000     0.00000     0.00000     0.00000
   -54.68089     0.00000     0.00000     0.00000     0.00000
   -54.60289     0.00000     0.00000     0.00000     0.00000
   -54.52589     0.00000     0.00000     0.00000     0.00000
   -54.44789     0.00000     0.00000     0.00000     0.00000
   -54.37089     0.00000     0.00000     0.00000     0.00000
   -54.29289     0.00000     0.00000     0.00000     0.00000
   -54.21589     0.00000     0.00000     0.00000     0.00000
   -54.13789     0.00000     0.00000     0.00000     0.00000
   -54.06089     0.00000     0.00000     0.00000     0.00000
   -53.98289     0.00000     0.00000     0.00000     0.00000
   -53.90589     0.00000     0.00000     0.00000     0.00000
   -53.82789     0.00000     0.00000     0.00000     0.00000
   -53.75089     0.00000     0.00000     0.00000     0.00000
   -53.67289     0.00000     0.00000     0.00000     0.00000
   -53.59589     0.00000     0.00000     0.00000     0.00000
   -53.51789     0.00000     0.00000     0.00000     0.00000
   -53.44089     0.00000     0.00000     0.00000     0.00000
   -53.36389     0.00000     0.00000     0.00000     0.00000
   -53.28589     0.00000     0.00000     0.00000     0.00000
   -53.20889     0.00000     0.00000     0.00000     0.00000
   -53.13089     0.00000     0.00000     0.00000     0.00000
   -53.05389     0.00000     0.00000     0.00000     0.00000
   -52.97589     0.00000     0.00000     0.00000     0.00000
   -52.89889     0.00000     0.00000     0.00000     0.00000
   -52.82089     0.00000     0.00000     0.00000     0.00000
   -52.74389     0.00000     0.00000     0.00000     0.00000
   -52.66589     0.00000     0.00000     0.00000     0.00000
   -52.58889     0.00000     0.00000     0.00000     0.00000
   -52.51089     0.00000     0.00000     0.00000     0.00000
   -52.43389     0.00000     0.00000     0.00000     0.00000
   -52.35589     0.00000     0.00000     0.00000     0.00000
   -52.27889     0.00000     0.00000     0.00000     0.00000
   -52.20089     0.00000     0.00000     0.00000     0.00000
   -52.12389     0.00000     0.00000     0.00000     0.00000
   -52.04589     0.00000     0.00000     0.00000     0.00000
   -51.96889     0.00000     0.00000     0.00000     0.00000
   -51.89089     0.00000     0.00000     0.00000     0.00000
   -51.81389     0.00000     0.00000     0.00000     0.00000
   -51.73589     0.00000     0.00000     0.00000     0.00000
   -51.65889     0.00000     0.00000     0.00000     0.00000
   -51.58089     0.00000     0.00000     0.00000     0.00000
   -51.50389     0.00000     0.00000     0.00000     0.00000
   -51.42589     0.00000     0.00000     0.00000     0.00000
   -51.34889     0.00000     0.00000     0.00000     0.00000
   -51.27089     0.00000     0.00000     0.00000     0.00000
   -51.19389     0.00000     0.00000     0.00000     0.00000
   -51.11589     0.00000     0.00000     0.00000     0.00000
   -51.03889     0.00000     0.00000     0.00000     0.00000
   -50.96189     0.00000     0.00000     0.00000     0.00000
   -50.88389     0.00000     0.00000     0.00000     0.00000
   -50.80689     0.00000     0.00000     0.00000     0.00000
   -50.72889     0.00000     0.00000     0.00000     0.00000
   -50.65189     0.00000     0.00000     0.00000     0.00000
   -50.57389     0.00000     0.00000     0.00000     0.00000
   -50.49689     0.00000     0.00000     0.00000     0.00000
   -50.41889     0.00000     0.00000     0.00000     0.00000
   -50.34189     0.00000     0.00000     0.00000     0.00000
   -50.26389     0.00000     0.00000     0.00000     0.00000
   -50.18689     0.00000     0.00000     0.00000     0.00000
   -50.10889     0.00000     0.00000     0.00000     0.00000
   -50.03189     0.00000     0.00000     0.00000     0.00000
   -49.95389     0.00000     0.00000     0.00000     0.00000
   -49.87689     0.00000     0.00000     0.00000     0.00000
   -49.79889     0.00000     0.00000     0.00000     0.00000
   -49.72189     0.00000     0.00000     0.00000     0.00000
   -49.64389     0.00000     0.00000     0.00000     0.00000
   -49.56689     0.00000     0.00000     0.00000     0.00000
   -49.48889     0.00000     0.00000     0.00000     0.00000
   -49.41189     0.00000     0.00000     0.00000     0.00000
   -49.33389     0.00000     0.00000     0.00000     0.00000
   -49.25689     0.00000     0.00000     0.00000     0.00000
   -49.17889     0.00000     0.00000     0.00000     0.00000
   -49.10189     0.00000     0.00000     0.00000     0.00000
   -49.02389     0.00000     0.00000     0.00000     0.00000
   -48.94689     0.00000     0.00000     0.00000     0.00000
   -48.86889     0.00000     0.00000     0.00000     0.00000
   -48.79189     0.00000     0.00000     0.00000     0.00000
   -48.71489     0.00000     0.00000     0.00000     0.00000
   -48.63689     0.00000     0.00000     0.00000     0.00000
   -48.55989     0.00000     0.00000     0.00000     0.00000
   -48.48189     0.00000     0.00000     0.00000     0.00000
   -48.40489     0.00000     0.00000     0.00000     0.00000
   -48.32689     0.00000     0.00000     0.00000     0.00000
   -48.24989     0.00000     0.00000     0.00000     0.00000
   -48.17189     0.00000     0.00000     0.00000     0.00000
   -48.09489     0.00000     0.00000     0.00000     0.00000
   -48.01689     0.00000     0.00000     0.00000     0.00000
   -47.93989     0.00000     0.00000     0.00000     0.00000
   -47.86189     0.00000     0.00000     0.00000     0.00000
   -47.78489     0.00000     0.00000     0.00000     0.00000
   -47.70689     0.00000     0.00000     0.00000     0.00000
   -47.62989     0.00000     0.00000     0.00000     0.00000
   -47.55189     0.00000     0.00000     0.00000     0.00000
   -47.47489     0.00000     0.00000     0.00000     0.00000
   -47.39689     0.00000     0.00000     0.00000     0.00000
   -47.31989     0.00000     0.00000     0.00000     0.00000
   -47.24189     0.00000     0.00000     0.00000     0.00000
   -47.16489     0.00000     0.00000     0.00000     0.00000
   -47.08689     0.00000     0.00000     0.00000     0.00000
   -47.00989     0.00000     0.00000     0.00000     0.00000
   -46.93189     0.00000     0.00000     0.00000     0.00000
   -46.85489     0.00000     0.00000     0.00000     0.00000
   -46.77689     0.00000     0.00000     0.00000     0.00000
   -46.69989     0.00000     0.00000     0.00000     0.00000
   -46.62189     0.00000     0.00000     0.00000     0.00000
   -46.54489     0.00000     0.00000     0.00000     0.00000
   -46.46689     0.00000     0.00000     0.00000     0.00000
   -46.38989     0.00000     0.00000     0.00000     0.00000
   -46.31289     0.00000     0.00000     0.00000     0.00000
   -46.23489     0.00000     0.00000     0.00000     0.00000
   -46.15789     0.00000     0.00000     0.00000     0.00000
   -46.07989     0.00000     0.00000     0.00000     0.00000
   -46.00289     0.00000     0.00000     0.00000     0.00000
   -45.92489     0.00000     0.00000     0.00000     0.00000
   -45.84789     0.00000     0.00000     0.00000     0.00000
   -45.76989     0.00000     0.00000     0.00000     0.00000
   -45.69289     0.00000     0.00000     0.00000     0.00000
   -45.61489     0.00000     0.00000     0.00000     0.00000
