
#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      63.6038786      0.0000000      0.0000000     63.6038786
      10.000      63.6036483      0.0940445      0.2913980     63.6045887
      20.000      63.5996660      0.9229420      3.2489133     63.6181248
      30.000      63.5782481      3.8103542     12.9150523     63.6925587
      40.000      63.5133815      9.6955743     29.9682123     63.9012045
      50.000      63.3736505     18.7730501     53.1056571     64.3123030
      60.000      63.1280359     30.8075949     80.1881966     64.9764916
      70.000      62.7492441     45.3153406    108.8621561     65.9213180
      80.000      62.2154295     61.7137286    137.1975041     67.1525278
      90.000      61.5105638     79.4366120    163.9304430     68.6598589
     100.000      60.6239197     97.9961395    188.3965761     70.4235336
     110.000      59.5491629    117.0022609    210.3575628     72.4194116
     120.000      58.2833831    136.1584319    229.8360604     74.6223949
     130.000      56.8262251    155.2474482    246.9946745     77.0083934
     140.000      55.1791771    174.1151876    262.0582308     79.5553033
     150.000      53.3450159    192.6557644    275.2682345     82.2433805
     160.000      51.3273883    210.7992658    286.8583948     85.0552708
     170.000      49.1305014    228.5021430    297.0429268     87.9758657
     180.000      46.7588973    245.7399100    306.0121601     90.9920811
     190.000      44.2172908    262.5016996    313.9320883     94.0926137
     200.000      41.5104548    278.7862492    320.9458756     97.2677046
     210.000      38.6431391    294.5989647    327.1762011    100.5089217
     220.000      35.6200155    309.9497844    332.7278341    103.8089681
     230.000      32.4456402    324.8516312    337.6901298    107.1615154
     240.000      29.1244302    339.3192968    342.1393025    110.5610615
     250.000      25.6606487    353.3686410    346.1404268    114.0028090
     260.000      22.0583973    367.0160216    349.7491608    117.4825629
     270.000      18.3216133    380.2778915    353.0132126    120.9966440
     280.000      14.4540702    393.1705188    355.9735773    124.5418155
     290.000      10.4593807    405.7097959    358.6655761    128.1152215
     300.000       6.3410008    417.9111129    361.1197273    131.7143347
     310.000       2.1022356    429.7892781    363.3624749    135.3369118
     320.000      -2.2537549    441.3584729    365.4167990    138.9809564
     330.000      -6.7239492    452.6322300    367.3027270    142.6446867
     340.000     -11.3054577    463.6234293    369.0377634    146.3265082
     350.000     -15.9955168    474.3443061    370.6372502    150.0249904
     360.000     -20.7914815    484.8064668    372.1146714    153.7388465
     370.000     -25.6908204    495.0209111    373.4819101    157.4669167
     380.000     -30.6911088    504.9980563    374.7494657    161.2081526
     390.000     -35.7900235    514.7477649    375.9266391    164.9616048
     400.000     -40.9853372    524.2793722    377.0216898    168.7264117
     410.000     -46.2749135    533.6017144    378.0419703    172.5017895
     420.000     -51.6567019    542.7231564    378.9940407    176.2870238
     430.000     -57.1287334    551.6516184    379.8837675    180.0814625
     440.000     -62.6891160    560.3946022    380.7164088    183.8845090
     450.000     -68.3360309    568.9592158    381.4966867    187.6956162
     460.000     -74.0677283    577.3521970    382.2288510    191.5142824
     470.000     -79.8825240    585.5799356    382.9167342    195.3400457
     480.000     -85.7787964    593.6484946    383.5637989    199.1724810
     490.000     -91.7549826    601.5636299    384.1731794    203.0111961
     500.000     -97.8095758    609.3308087    384.7477177    206.8558285
     510.000    -103.9411229    616.9552271    385.2899958    210.7060429
     520.000    -110.1482210    624.4418264    385.8023630    214.5615287
     530.000    -116.4295157    631.7953082    386.2869604    218.4219976
     540.000    -122.7836984    639.0201487    386.7457426    222.2871819
     550.000    -129.2095041    646.1206119    387.1804968    226.1568324
     560.000    -135.7057096    653.1007622    387.5928592    230.0307172
     570.000    -142.2711313    659.9644759    387.9843303    233.9086200
     580.000    -148.9046234    666.7154520    388.3562877    237.7903388
     590.000    -155.6050763    673.3572224    388.7099983    241.6756849
