  #K-Path    Energy        Ti        Al        Ga
# NKPTS & NBANDS: 180 128
# Band-Index:    1
    0.000  -56.9244     0.996     0.000     0.000
    0.028  -56.9244     0.996     0.000     0.000
    0.056  -56.9243     0.996     0.000     0.000
    0.085  -56.9243     0.996     0.000     0.000
    0.113  -56.9242     0.996     0.000     0.000
    0.141  -56.9241     0.996     0.000     0.000
    0.169  -56.9239     0.996     0.000     0.000
    0.198  -56.9238     0.996     0.000     0.000
    0.226  -56.9236     0.992     0.000     0.000
    0.254  -56.9234     0.994     0.000     0.000
    0.282  -56.9232     0.994     0.000     0.000
    0.310  -56.9230     0.996     0.000     0.000
    0.339  -56.9228     0.996     0.000     0.000
    0.367  -56.9226     0.996     0.000     0.000
    0.395  -56.9224     0.994     0.000     0.000
    0.423  -56.9221     0.994     0.000     0.000
    0.452  -56.9219     0.994     0.000     0.000
    0.480  -56.9217     0.994     0.000     0.000
    0.508  -56.9215     0.996     0.000     0.000
    0.536  -56.9214     0.994     0.000     0.000
    0.536  -56.9214     0.994     0.000     0.000
    0.564  -56.9214     0.994     0.000     0.000
    0.593  -56.9213     0.994     0.000     0.000
    0.621  -56.9213     0.994     0.000     0.000
    0.649  -56.9213     0.994     0.000     0.000
    0.677  -56.9212     0.994     0.000     0.000
    0.706  -56.9212     0.994     0.000     0.000
    0.734  -56.9211     0.996     0.000     0.000
    0.762  -56.9210     0.996     0.000     0.000
    0.790  -56.9209     0.996     0.000     0.000
    0.818  -56.9209     0.996     0.000     0.000
    0.847  -56.9208     0.996     0.000     0.000
    0.875  -56.9207     0.994     0.000     0.000
    0.903  -56.9206     0.994     0.000     0.000
    0.931  -56.9206     0.994     0.000     0.000
    0.960  -56.9205     0.994     0.000     0.000
    0.988  -56.9205     0.994     0.000     0.000
    1.016  -56.9205     0.994     0.000     0.000
    1.044  -56.9204     0.996     0.000     0.000
    1.072  -56.9204     0.996     0.000     0.000
    1.072  -56.9204     0.994     0.000     0.000
    1.112  -56.9205     0.996     0.000     0.000
    1.152  -56.9205     0.996     0.000     0.000
    1.192  -56.9207     0.996     0.000     0.000
    1.232  -56.9209     0.992     0.000     0.000
    1.272  -56.9211     0.994     0.000     0.000
    1.312  -56.9213     0.996     0.000     0.000
    1.352  -56.9216     0.996     0.000     0.000
    1.392  -56.9219     0.996     0.000     0.000
    1.432  -56.9223     0.992     0.000     0.000
    1.472  -56.9226     0.996     0.000     0.000
    1.512  -56.9229     0.996     0.000     0.000
    1.551  -56.9232     0.996     0.000     0.000
    1.591  -56.9235     0.992     0.000     0.000
    1.631  -56.9238     0.994     0.000     0.000
    1.671  -56.9240     0.994     0.000     0.000
    1.711  -56.9242     0.996     0.000     0.000
    1.751  -56.9243     0.996     0.000     0.000
    1.791  -56.9244     0.996     0.000     0.000
    1.831  -56.9244     0.996     0.000     0.000
    1.831  -56.9244     0.996     0.000     0.000
    1.851  -56.9244     0.996     0.000     0.000
    1.871  -56.9244     0.996     0.000     0.000
    1.891  -56.9244     0.996     0.000     0.000
    1.911  -56.9244     0.996     0.000     0.000
    1.930  -56.9244     0.996     0.000     0.000
    1.950  -56.9244     0.996     0.000     0.000
    1.970  -56.9244     0.996     0.000     0.000
    1.990  -56.9243     0.996     0.000     0.000
    2.010  -56.9243     0.996     0.000     0.000
    2.030  -56.9243     0.996     0.000     0.000
    2.050  -56.9243     0.996     0.000     0.000
    2.070  -56.9243     0.996     0.000     0.000
    2.090  -56.9243     0.996     0.000     0.000
    2.110  -56.9243     0.996     0.000     0.000
    2.130  -56.9243     0.996     0.000     0.000
    2.150  -56.9243     0.996     0.000     0.000
    2.170  -56.9242     0.996     0.000     0.000
    2.189  -56.9242     0.996     0.000     0.000
    2.209  -56.9242     0.996     0.000     0.000
    2.209  -56.9242     0.996     0.000     0.000
    2.238  -56.9242     0.996     0.000     0.000
    2.266  -56.9242     0.996     0.000     0.000
    2.294  -56.9241     0.996     0.000     0.000
    2.322  -56.9240     0.996     0.000     0.000
    2.350  -56.9239     0.998     0.000     0.000
    2.379  -56.9238     0.994     0.000     0.000
    2.407  -56.9236     0.994     0.000     0.000
    2.435  -56.9235     0.994     0.000     0.000
    2.463  -56.9233     0.994     0.000     0.000
    2.492  -56.9231     0.996     0.000     0.000
    2.520  -56.9229     0.994     0.000     0.000
    2.548  -56.9226     0.996     0.000     0.000
    2.576  -56.9224     0.996     0.000     0.000
    2.604  -56.9222     0.994     0.000     0.000
    2.633  -56.9220     0.994     0.000     0.000
    2.661  -56.9218     0.996     0.000     0.000
    2.689  -56.9216     0.994     0.000     0.000
    2.717  -56.9214     0.996     0.000     0.000
    2.746  -56.9212     0.994     0.000     0.000
    2.746  -56.9212     0.994     0.000     0.000
    2.774  -56.9212     0.994     0.000     0.000
    2.802  -56.9212     0.994     0.000     0.000
    2.830  -56.9212     0.994     0.000     0.000
    2.859  -56.9211     0.994     0.000     0.000
    2.887  -56.9211     0.994     0.000     0.000
    2.915  -56.9210     0.994     0.000     0.000
    2.943  -56.9210     0.996     0.000     0.000
    2.971  -56.9209     0.996     0.000     0.000
    3.000  -56.9208     0.996     0.000     0.000
    3.028  -56.9207     0.996     0.000     0.000
    3.056  -56.9207     0.996     0.000     0.000
    3.084  -56.9206     0.994     0.000     0.000
    3.113  -56.9205     0.994     0.000     0.000
    3.141  -56.9205     0.994     0.000     0.000
    3.169  -56.9204     0.994     0.000     0.000
    3.197  -56.9204     0.994     0.000     0.000
    3.225  -56.9203     0.994     0.000     0.000
    3.254  -56.9203     0.996     0.000     0.000
    3.282  -56.9203     0.996     0.000     0.000
    3.282  -56.9203     0.994     0.000     0.000
    3.322  -56.9203     0.996     0.000     0.000
    3.362  -56.9204     0.996     0.000     0.000
    3.402  -56.9206     0.996     0.000     0.000
    3.442  -56.9207     0.992     0.000     0.000
    3.481  -56.9210     0.992     0.000     0.000
    3.521  -56.9212     0.996     0.000     0.000
    3.561  -56.9215     0.996     0.000     0.000
    3.601  -56.9218     0.996     0.000     0.000
    3.641  -56.9221     0.992     0.000     0.000
    3.681  -56.9224     0.996     0.000     0.000
    3.721  -56.9228     0.996     0.000     0.000
    3.761  -56.9231     0.996     0.000     0.000
    3.801  -56.9233     0.992     0.000     0.000
    3.841  -56.9236     0.992     0.000     0.000
    3.881  -56.9238     0.994     0.000     0.000
    3.920  -56.9240     0.996     0.000     0.000
    3.960  -56.9241     0.996     0.000     0.000
    4.000  -56.9242     0.996     0.000     0.000
    4.040  -56.9242     0.996     0.000     0.000
    4.040  -56.9214     0.994     0.000     0.000
    4.060  -56.9214     0.994     0.000     0.000
    4.080  -56.9214     0.994     0.000     0.000
    4.100  -56.9214     0.994     0.000     0.000
    4.120  -56.9213     0.994     0.000     0.000
    4.140  -56.9213     0.994     0.000     0.000
    4.160  -56.9213     0.994     0.000     0.000
    4.180  -56.9213     0.994     0.000     0.000
    4.200  -56.9213     0.994     0.000     0.000
    4.220  -56.9213     0.994     0.000     0.000
    4.239  -56.9213     0.994     0.000     0.000
    4.259  -56.9213     0.994     0.000     0.000
    4.279  -56.9213     0.994     0.000     0.000
    4.299  -56.9213     0.994     0.000     0.000
    4.319  -56.9213     0.994     0.000     0.000
    4.339  -56.9213     0.994     0.000     0.000
    4.359  -56.9212     0.994     0.000     0.000
    4.379  -56.9212     0.994     0.000     0.000
    4.399  -56.9212     0.994     0.000     0.000
    4.419  -56.9212     0.994     0.000     0.000
    4.419  -56.9204     0.996     0.000     0.000
    4.439  -56.9204     0.994     0.000     0.000
    4.459  -56.9204     0.996     0.000     0.000
    4.478  -56.9204     0.996     0.000     0.000
    4.498  -56.9204     0.994     0.000     0.000
    4.518  -56.9204     0.994     0.000     0.000
    4.538  -56.9204     0.996     0.000     0.000
    4.558  -56.9204     0.996     0.000     0.000
    4.578  -56.9204     0.996     0.000     0.000
    4.598  -56.9204     0.994     0.000     0.000
    4.618  -56.9204     0.994     0.000     0.000
    4.638  -56.9204     0.994     0.000     0.000
    4.658  -56.9204     0.996     0.000     0.000
    4.678  -56.9204     0.994     0.000     0.000
    4.698  -56.9203     0.996     0.000     0.000
    4.718  -56.9203     0.996     0.000     0.000
    4.737  -56.9203     0.996     0.000     0.000
    4.757  -56.9203     0.996     0.000     0.000
    4.777  -56.9203     0.994     0.000     0.000
    4.797  -56.9203     0.996     0.000     0.000
 
# Band-Index:    2
    4.797  -56.9203     0.996     0.000     0.000
    4.777  -56.9203     0.994     0.000     0.000
    4.757  -56.9203     0.996     0.000     0.000
    4.737  -56.9203     0.996     0.000     0.000
    4.718  -56.9203     0.996     0.000     0.000
    4.698  -56.9203     0.996     0.000     0.000
    4.678  -56.9204     0.994     0.000     0.000
    4.658  -56.9204     0.996     0.000     0.000
    4.638  -56.9204     0.994     0.000     0.000
    4.618  -56.9204     0.994     0.000     0.000
    4.598  -56.9204     0.994     0.000     0.000
    4.578  -56.9204     0.996     0.000     0.000
    4.558  -56.9204     0.996     0.000     0.000
    4.538  -56.9204     0.996     0.000     0.000
    4.518  -56.9204     0.994     0.000     0.000
    4.498  -56.9204     0.994     0.000     0.000
    4.478  -56.9204     0.996     0.000     0.000
    4.459  -56.9204     0.996     0.000     0.000
    4.439  -56.9204     0.994     0.000     0.000
    4.419  -56.9204     0.996     0.000     0.000
    4.419  -56.9212     0.996     0.000     0.000
    4.399  -56.9212     0.996     0.000     0.000
    4.379  -56.9212     0.996     0.000     0.000
    4.359  -56.9212     0.996     0.000     0.000
    4.339  -56.9212     0.996     0.000     0.000
    4.319  -56.9212     0.996     0.000     0.000
    4.299  -56.9212     0.996     0.000     0.000
    4.279  -56.9212     0.996     0.000     0.000
    4.259  -56.9213     0.996     0.000     0.000
    4.239  -56.9213     0.996     0.000     0.000
    4.220  -56.9213     0.996     0.000     0.000
    4.200  -56.9213     0.996     0.000     0.000
    4.180  -56.9213     0.996     0.000     0.000
    4.160  -56.9213     0.996     0.000     0.000
    4.140  -56.9213     0.996     0.000     0.000
    4.120  -56.9213     0.996     0.000     0.000
    4.100  -56.9213     0.996     0.000     0.000
    4.080  -56.9213     0.996     0.000     0.000
    4.060  -56.9213     0.996     0.000     0.000
    4.040  -56.9213     0.996     0.000     0.000
    4.040  -56.9242     0.996     0.000     0.000
    4.000  -56.9241     0.996     0.000     0.000
    3.960  -56.9241     0.996     0.000     0.000
    3.920  -56.9239     0.996     0.000     0.000
    3.881  -56.9237     0.994     0.000     0.000
    3.841  -56.9235     0.994     0.000     0.000
    3.801  -56.9233     0.992     0.000     0.000
