#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS: 180 128
# Band-Index:    1
   0.00000    -56.924395  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   0.02822    -56.924381  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   0.05645    -56.924338  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   0.08467    -56.924271  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   0.11289    -56.924180  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   0.14112    -56.924065  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   0.16934    -56.923929  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   0.19757    -56.923776  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   0.22579    -56.923602  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.25401    -56.923415  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.28224    -56.923214  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.31046    -56.923008  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   0.33868    -56.922793  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   0.36691    -56.922575  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   0.39513    -56.922356  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.42335    -56.922140  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.45158    -56.921928  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.47980    -56.921724  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.50803    -56.921527  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   0.53625    -56.921357  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.53625    -56.921357  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.56447    -56.921351  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.59270    -56.921334  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.62092    -56.921304  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.64914    -56.921263  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.67737    -56.921212  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.70559    -56.921151  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.73381    -56.921084  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   0.76204    -56.921012  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   0.79026    -56.920936  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   0.81849    -56.920860  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   0.84671    -56.920785  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   0.87493    -56.920712  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.90316    -56.920646  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.93138    -56.920587  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.95960    -56.920534  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   0.98783    -56.920492  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   1.01605    -56.920462  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   1.04427    -56.920444  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.07250    -56.920441  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.07250    -56.920441  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   1.11241    -56.920464  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.15233    -56.920544  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.19224    -56.920677  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.23216    -56.920859  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.27207    -56.921083  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   1.31198    -56.921342  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.35190    -56.921630  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.39181    -56.921941  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.43173    -56.922263  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.47164    -56.922589  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.51156    -56.922910  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.55147    -56.923215  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.59138    -56.923501  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.63130    -56.923754  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   1.67121    -56.923974  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   1.71113    -56.924152  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.75104    -56.924284  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.79096    -56.924366  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.83087    -56.924395  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.83087    -56.924395  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.85079    -56.924394  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.87071    -56.924391  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.89063    -56.924386  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.91055    -56.924380  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.93047    -56.924372  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.95039    -56.924365  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.97031    -56.924356  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   1.99023    -56.924347  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   2.01016    -56.924336  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   2.03008    -56.924328  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   2.05000    -56.924316  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   2.06992    -56.924302  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   2.08984    -56.924289  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   2.10976    -56.924277  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   2.12968    -56.924263  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   2.14960    -56.924252  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   2.16952    -56.924242  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   2.18944    -56.924234  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   2.20936    -56.924229  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   2.20936    -56.924229  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   2.23759    -56.924218  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   2.26581    -56.924178  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   2.29403    -56.924112  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   2.32226    -56.924022  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   2.35048    -56.923909  0.998  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.998
   2.37870    -56.923775  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   2.40693    -56.923622  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   2.43515    -56.923450  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   2.46338    -56.923264  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   2.49160    -56.923067  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   2.51982    -56.922861  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   2.54805    -56.922648  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   2.57627    -56.922433  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   2.60449    -56.922216  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   2.63272    -56.922001  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   2.66094    -56.921790  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   2.68916    -56.921588  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   2.71739    -56.921395  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   2.74561    -56.921233  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   2.74561    -56.921233  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   2.77384    -56.921226  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   2.80206    -56.921208  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   2.83028    -56.921177  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   2.85851    -56.921135  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   2.88673    -56.921084  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   2.91495    -56.921025  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   2.94318    -56.920958  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   2.97140    -56.920886  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   2.99962    -56.920812  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   3.02785    -56.920736  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   3.05607    -56.920662  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   3.08430    -56.920590  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   3.11252    -56.920523  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   3.14074    -56.920463  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   3.16897    -56.920411  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   3.19719    -56.920369  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   3.22541    -56.920339  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   3.25364    -56.920321  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   3.28186    -56.920315  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   3.28186    -56.920315  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   3.32178    -56.920341  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   3.36169    -56.920420  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   3.40160    -56.920552  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   3.44152    -56.920732  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   3.48143    -56.920953  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   3.52135    -56.921209  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   3.56126    -56.921495  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   3.60117    -56.921802  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   3.64109    -56.922120  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   3.68100    -56.922444  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   3.72092    -56.922762  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   3.76083    -56.923067  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   3.80075    -56.923350  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   3.84066    -56.923603  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   3.88057    -56.923820  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   3.92049    -56.923996  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   3.96040    -56.924124  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   4.00032    -56.924205  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   4.04023    -56.924229  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   4.04023    -56.921357  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.06015    -56.921358  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.08007    -56.921356  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.09999    -56.921352  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.11991    -56.921349  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.13984    -56.921344  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.15976    -56.921339  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.17968    -56.921333  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.19960    -56.921325  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.21952    -56.921318  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.23944    -56.921308  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.25936    -56.921298  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.27928    -56.921287  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.29920    -56.921276  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.31912    -56.921267  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.33904    -56.921257  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.35896    -56.921247  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.37888    -56.921240  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.39880    -56.921235  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.41872    -56.921233  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.41872    -56.920441  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   4.43865    -56.920440  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.45857    -56.920434  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   4.47849    -56.920431  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   4.49841    -56.920427  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.51833    -56.920423  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.53825    -56.920418  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   4.55817    -56.920410  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   4.57809    -56.920402  0.996  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.996
   4.59801    -56.920394  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.61793    -56.920386  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
   4.63785    -56.920375  0.994  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.994
