      #Energy        TDOS
     -60.38927       0.00000
     -60.31427       0.00000
     -60.23927       0.00000
     -60.16427       0.00000
     -60.08927       0.00000
     -60.01427       0.00000
     -59.93927       0.00000
     -59.86427       0.00000
     -59.78927       0.00000
     -59.71427       0.00000
     -59.63827       0.00000
     -59.56327       0.00000
     -59.48827       0.00000
     -59.41327       0.00000
     -59.33827       0.00000
     -59.26327       0.00000
     -59.18827       0.00000
     -59.11327       0.00000
     -59.03827       0.00000
     -58.96327       0.00000
     -58.88727       0.00000
     -58.81227       0.00000
     -58.73727       0.00000
     -58.66227       0.00000
     -58.58727       0.00000
     -58.51227       0.00000
     -58.43727       0.00000
     -58.36227       0.00000
     -58.28727       0.00000
     -58.21227       0.00000
     -58.13627       0.00000
     -58.06127       0.00000
     -57.98627       0.00000
     -57.91127       0.00000
     -57.83627      -0.00000
     -57.76127      -0.00000
     -57.68627      -0.00000
     -57.61127      -0.00000
     -57.53627      -0.00000
     -57.46127      -0.00000
     -57.38627      -0.00000
     -57.31027      -0.00005
     -57.23527      -0.00309
     -57.16027      -0.05459
     -57.08527      -0.18000
     -57.01027       0.79259
     -56.93527       4.18890
     -56.86027       7.36668
     -56.78527       8.02889
     -56.71027       8.59799
     -56.63527      11.49865
     -56.55927      14.88595
     -56.48427      16.12141
     -56.40927      16.07220
     -56.33427      16.00626
     -56.25927      16.00036
     -56.18427      16.00022
     -56.10927      16.00022
     -56.03427      16.00022
     -55.95927      16.00022
     -55.88427      16.00022
     -55.80827      16.00022
     -55.73327      16.00022
     -55.65827      16.00022
     -55.58327      16.00022
     -55.50827      16.00022
     -55.43327      16.00022
     -55.35827      16.00022
     -55.28327      16.00022
     -55.20827      16.00022
     -55.13327      16.00022
     -55.05727      16.00022
     -54.98227      16.00022
     -54.90727      16.00022
     -54.83227      16.00022
     -54.75727      16.00022
     -54.68227      16.00022
     -54.60727      16.00022
     -54.53227      16.00022
     -54.45727      16.00022
     -54.38227      16.00022
     -54.30627      16.00022
     -54.23127      16.00022
     -54.15627      16.00022
     -54.08127      16.00022
     -54.00627      16.00022
     -53.93127      16.00022
     -53.85627      16.00022
     -53.78127      16.00022
     -53.70627      16.00022
     -53.63127      16.00022
     -53.55627      16.00022
     -53.48027      16.00022
     -53.40527      16.00022
     -53.33027      16.00022
     -53.25527      16.00022
     -53.18027      16.00022
     -53.10527      16.00022
     -53.03027      16.00022
     -52.95527      16.00022
     -52.88027      16.00022
     -52.80527      16.00022
     -52.72927      16.00022
     -52.65427      16.00022
     -52.57927      16.00022
     -52.50427      16.00022
     -52.42927      16.00022
     -52.35427      16.00022
     -52.27927      16.00022
     -52.20427      16.00022
     -52.12927      16.00022
     -52.05427      16.00022
     -51.97827      16.00022
     -51.90327      16.00022
     -51.82827      16.00022
     -51.75327      16.00022
     -51.67827      16.00022
     -51.60327      16.00022
     -51.52827      16.00022
     -51.45327      16.00022
     -51.37827      16.00022
     -51.30327      16.00022
     -51.22727      16.00022
     -51.15227      16.00022
     -51.07727      16.00022
     -51.00227      16.00022
     -50.92727      16.00022
     -50.85227      16.00022
     -50.77727      16.00022
     -50.70227      16.00022
     -50.62727      16.00022
     -50.55227      16.00022
     -50.47627      16.00022
     -50.40127      16.00022
     -50.32627      16.00022
     -50.25127      16.00022
     -50.17627      16.00022
     -50.10127      16.00022
     -50.02627      16.00022
     -49.95127      16.00022
     -49.87627      16.00022
     -49.80127      16.00022
     -49.72527      16.00022
     -49.65027      16.00022
     -49.57527      16.00022
     -49.50027      16.00022
     -49.42527      16.00022
     -49.35027      16.00022
     -49.27527      16.00022
     -49.20027      16.00022
     -49.12527      16.00022
     -49.05027      16.00022
     -48.97527      16.00022
     -48.89927      16.00022
     -48.82427      16.00022
     -48.74927      16.00022
     -48.67427      16.00022
     -48.59927      16.00022
     -48.52427      16.00022
     -48.44927      16.00022
     -48.37427      16.00022
     -48.29927      16.00022
     -48.22427      16.00022
     -48.14827      16.00022
     -48.07327      16.00022
     -47.99827      16.00022
     -47.92327      16.00022
     -47.84827      16.00022
     -47.77327      16.00022
     -47.69827      16.00022
     -47.62327      16.00022
     -47.54827      16.00022
     -47.47327      16.00022
     -47.39727      16.00022
     -47.32227      16.00022
     -47.24727      16.00022
     -47.17227      16.00022
     -47.09727      16.00022
     -47.02227      16.00022
     -46.94727      16.00022
     -46.87227      16.00022
     -46.79727      16.00022
     -46.72227      16.00022
     -46.64627      16.00022
     -46.57127      16.00022
     -46.49627      16.00022
     -46.42127      16.00022
     -46.34627      16.00022
     -46.27127      16.00022
     -46.19627      16.00022
     -46.12127      16.00022
     -46.04627      16.00022
     -45.97127      16.00022
     -45.89527      16.00022
     -45.82027      16.00022
     -45.74527      16.00022
     -45.67027      16.00022
     -45.59527      16.00022
     -45.52027      16.00022
     -45.44527      16.00022
     -45.37027      16.00022
     -45.29527      16.00022
     -45.22027      16.00022
     -45.14527      16.00022
     -45.06927      16.00022
     -44.99427      16.00022
     -44.91927      16.00022
     -44.84427      16.00022
     -44.76927      16.00022
     -44.69427      16.00022
