#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      66.5278224      0.0000000      0.0000000     66.5278224
      10.000      66.5250857      0.8313149      1.6746432     66.5333989
      20.000      66.5055966      3.3619009      6.9238196     66.5728347
      30.000      66.4508835      7.9905166     17.7492976     66.6905990
      40.000      66.3365714     15.3666145     35.4978440     66.9512360
      50.000      66.1335630     25.7213599     58.9281143     67.4196310
      60.000      65.8130792     38.7871108     85.5223577     68.1403058
      70.000      65.3505503     54.0327788    112.9724843     69.1328449
      80.000      64.7271041     70.8765352    139.6868104     70.3972269
      90.000      63.9294480     88.7951012    164.7448963     71.9210071
     100.000      62.9490567    107.3605326    187.7085228     73.6851100
     110.000      61.7811956    126.2412823    208.4456411     75.6677366
     120.000      60.4240139    145.1894237    227.0023623     77.8467448
     130.000      58.8777896    164.0245356    243.5190396     80.2009793
     140.000      57.1443311    182.6185900    258.1785140     82.7109337
     150.000      55.2265190    200.8832691    271.1757474     85.3590094
     160.000      53.1279617    218.7598866    282.7009778     88.1295435
     170.000      50.8527393    236.2116153    292.9311324     91.0087139
     180.000      48.4052165    253.2175992    302.0261262     93.9843843
     190.000      45.7899051    269.7685408    310.1279484     97.0459278
     200.000      43.0113665    285.8634176    317.3612581    100.1840500
     210.000      40.0741413    301.5070499    323.8347267    103.3906218
     220.000      36.9827004    316.7083055    329.6426846    106.6585276
     230.000      33.7414113    331.4787796    334.8668244    109.9815306
     240.000      30.3545163    345.8318264    339.5778264    113.3541547
     250.000      26.8261183    359.7818528    343.8368455    116.7715815
     260.000      23.1601729    373.3438053    347.6968340    120.2295623
     270.000      19.3604853    386.5328015    351.2036998    123.7243417
     280.000      15.4307099    399.3638669    354.3973078    127.2525926
     290.000      11.3743519    411.8517514    357.3123409    130.8113598
     300.000       7.1947709    424.0108038    359.9790361    134.3980121
     310.000       2.8951856    435.8548888    362.4238125    138.0102012
     320.000      -1.5213214    447.3973359    364.6698059    141.6458260
     330.000      -6.0517982    458.6509117    366.7373235    145.3030026
     340.000     -10.6934175    469.6278084    368.6442323    148.9800374
     350.000     -15.4434709    480.3396445    370.4062882    152.6754046
     360.000     -20.2993637    490.7974740    372.0374186    156.3877269
     370.000     -25.2586088    501.0118018    373.5499621    160.1157579
     380.000     -30.3188214    510.9926024    374.9548754    163.8583675
     390.000     -35.4777140    520.7493417    376.2619089    167.6145292
     400.000     -40.7330913    530.2909997    377.4797588    171.3833085
     410.000     -46.0828455    539.6260943    378.6161975    175.1638531
     420.000     -51.5249517    548.7627049    379.6781863    178.9553844
     430.000     -57.0574636    557.7084958    380.6719723    182.7571896
     440.000     -62.6785098    566.4707388    381.6031733    186.5686153
     450.000     -68.3862896    575.0563354    382.4768501    190.3890614
     460.000     -74.1790696    583.4718378    383.2975712    194.2179758
     470.000     -80.0551801    591.7234685    384.0694672    198.0548501
     480.000     -86.0130124    599.8171403    384.7962802    201.8992149
     490.000     -92.0510152    607.7584733    385.4814056    205.7506368
     500.000     -98.1676919    615.5528127    386.1279295    209.6087144
     510.000    -104.3615984    623.2052441    386.7386615    213.4730761
     520.000    -110.6313400    630.7206093    387.3161636    217.3433769
     530.000    -116.9755691    638.1035198    387.8627750    221.2192964
     540.000    -123.3929835    645.3583705    388.3806356    225.1005366
     550.000    -129.8823237    652.4893518    388.8717048    228.9868198
     560.000    -136.4423710    659.5004614    389.3377800    232.8778874
     570.000    -143.0719461    666.3955152    389.7805120    236.7734976
     580.000    -149.7699066    673.1781577    390.2014186    240.6734249
     590.000    -156.5351461    679.8518713    390.6018977    244.5774579
     600.000    -163.3665921    686.4199852    390.9832380    248.4853990
     610.000    -170.2632045    692.8856841    391.3466291    252.3970628
     620.000    -177.2239745    699.2520161    391.6931705    256.3122755
