  #K-Path    Energy        Ti        Al
# NKPTS & NBANDS: 180 128
# Band-Index:    1
    0.000  -56.5662     0.992     0.000
    0.029  -56.5662     0.992     0.000
    0.059  -56.5659     0.992     0.000
    0.088  -56.5654     0.992     0.000
    0.117  -56.5647     0.992     0.000
    0.146  -56.5638     0.992     0.000
    0.176  -56.5628     0.992     0.000
    0.205  -56.5616     0.992     0.000
    0.234  -56.5602     0.992     0.000
    0.263  -56.5587     0.992     0.000
    0.293  -56.5570     0.992     0.000
    0.322  -56.5552     0.992     0.000
    0.351  -56.5533     0.992     0.000
    0.380  -56.5513     0.992     0.000
    0.410  -56.5491     0.992     0.000
    0.439  -56.5469     0.992     0.000
    0.468  -56.5447     0.992     0.000
    0.497  -56.5423     0.992     0.000
    0.527  -56.5400     0.992     0.000
    0.556  -56.5376     0.992     0.000
    0.556  -56.5376     0.992     0.000
    0.585  -56.5375     0.992     0.000
    0.614  -56.5372     0.992     0.000
    0.644  -56.5367     0.992     0.000
    0.673  -56.5361     0.992     0.000
    0.702  -56.5352     0.992     0.000
    0.732  -56.5342     0.996     0.000
    0.761  -56.5330     0.996     0.000
    0.790  -56.5317     0.996     0.000
    0.819  -56.5302     0.996     0.000
    0.849  -56.5286     0.992     0.000
    0.878  -56.5268     0.996     0.000
    0.907  -56.5249     0.992     0.000
    0.936  -56.5229     0.996     0.000
    0.966  -56.5208     0.996     0.000
    0.995  -56.5186     0.996     0.000
    1.024  -56.5164     0.992     0.000
    1.053  -56.5141     0.996     0.000
    1.083  -56.5118     0.996     0.000
    1.112  -56.5095     0.994     0.000
    1.112  -56.5095     0.994     0.000
    1.153  -56.5142     0.992     0.000
    1.195  -56.5188     0.992     0.000
    1.236  -56.5234     0.992     0.000
    1.277  -56.5278     0.992     0.000
    1.319  -56.5322     0.992     0.000
    1.360  -56.5364     0.992     0.000
    1.402  -56.5405     0.992     0.000
    1.443  -56.5443     0.992     0.000
    1.484  -56.5479     0.992     0.000
    1.526  -56.5512     0.992     0.000
    1.567  -56.5542     0.992     0.000
    1.609  -56.5570     0.992     0.000
    1.650  -56.5594     0.992     0.000
    1.691  -56.5614     0.992     0.000
    1.733  -56.5632     0.992     0.000
    1.774  -56.5645     0.992     0.000
    1.815  -56.5655     0.992     0.000
    1.857  -56.5661     0.992     0.000
    1.898  -56.5662     0.992     0.000
    1.898  -56.5662     0.992     0.000
    1.919  -56.5662     0.992     0.000
    1.939  -56.5662     0.992     0.000
    1.959  -56.5662     0.992     0.000
    1.980  -56.5662     0.992     0.000
    2.000  -56.5662     0.992     0.000
    2.020  -56.5662     0.992     0.000
    2.041  -56.5662     0.992     0.000
    2.061  -56.5662     0.992     0.000
    2.081  -56.5662     0.992     0.000
    2.102  -56.5662     0.992     0.000
    2.122  -56.5661     0.992     0.000
    2.142  -56.5661     0.992     0.000
    2.163  -56.5661     0.992     0.000
    2.183  -56.5661     0.992     0.000
    2.203  -56.5661     0.992     0.000
    2.224  -56.5660     0.992     0.000
    2.244  -56.5660     0.992     0.000
    2.265  -56.5660     0.992     0.000
    2.285  -56.5660     0.996     0.000
    2.285  -56.5660     0.992     0.000
    2.314  -56.5659     0.992     0.000
    2.343  -56.5656     0.996     0.000
    2.373  -56.5651     0.996     0.000
    2.402  -56.5644     0.992     0.000
    2.431  -56.5635     0.992     0.000
    2.460  -56.5625     0.996     0.000
    2.490  -56.5613     0.996     0.000
    2.519  -56.5599     0.996     0.000
    2.548  -56.5584     0.996     0.000
    2.577  -56.5567     0.992     0.000
    2.607  -56.5549     0.992     0.000
    2.636  -56.5530     0.992     0.000
    2.665  -56.5510     0.996     0.000
    2.695  -56.5489     0.996     0.000
    2.724  -56.5466     0.992     0.000
    2.753  -56.5444     0.996     0.000
    2.782  -56.5421     0.996     0.000
    2.812  -56.5397     0.996     0.000
    2.841  -56.5373     0.996     0.000
    2.841  -56.5373     0.994     0.000
    2.870  -56.5372     0.994     0.000
    2.899  -56.5370     0.994     0.000
    2.929  -56.5365     0.994     0.000
    2.958  -56.5358     0.994     0.000
    2.987  -56.5350     0.994     0.000
    3.016  -56.5340     0.996     0.000
    3.046  -56.5328     0.994     0.000
