#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS: 180 128
# Band-Index:    1
   0.00000    -56.566248  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.02926    -56.566150  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.05852    -56.565861  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.08778    -56.565380  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.11705    -56.564707  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.14631    -56.563849  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.17557    -56.562812  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.20483    -56.561600  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.23409    -56.560227  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.26335    -56.558697  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.29261    -56.557025  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.32188    -56.555222  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.35114    -56.553295  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.38040    -56.551261  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.40966    -56.549133  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.43892    -56.546931  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.46818    -56.544657  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   0.49744    -56.542335  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
