     #Energy           s           p           d       tot  
   -60.14118     0.00000     0.00000     0.00000     0.00000
   -60.06418     0.00000     0.00000     0.00000     0.00000
   -59.98618     0.00000     0.00000     0.00000     0.00000
   -59.90918     0.00000     0.00000     0.00000     0.00000
   -59.83118     0.00000     0.00000     0.00000     0.00000
   -59.75418     0.00000     0.00000     0.00000     0.00000
   -59.67718     0.00000     0.00000     0.00000     0.00000
   -59.59918     0.00000     0.00000     0.00000     0.00000
   -59.52218     0.00000     0.00000     0.00000     0.00000
   -59.44518     0.00000     0.00000     0.00000     0.00000
   -59.36718     0.00000     0.00000     0.00000     0.00000
   -59.29018     0.00000     0.00000     0.00000     0.00000
   -59.21318     0.00000     0.00000     0.00000     0.00000
   -59.13518     0.00000     0.00000     0.00000     0.00000
   -59.05818     0.00000     0.00000     0.00000     0.00000
   -58.98118     0.00000     0.00000     0.00000     0.00000
   -58.90318     0.00000     0.00000     0.00000     0.00000
   -58.82618     0.00000     0.00000     0.00000     0.00000
   -58.74918     0.00000     0.00000     0.00000     0.00000
   -58.67118     0.00000     0.00000     0.00000     0.00000
   -58.59418     0.00000     0.00000     0.00000     0.00000
   -58.51618     0.00000     0.00000     0.00000     0.00000
   -58.43918     0.00000     0.00000     0.00000     0.00000
   -58.36218     0.00000     0.00000     0.00000     0.00000
   -58.28418     0.00000     0.00000     0.00000     0.00000
   -58.20718     0.00000     0.00000     0.00000     0.00000
   -58.13018     0.00000     0.00000     0.00000     0.00000
   -58.05218     0.00000     0.00000     0.00000     0.00000
   -57.97518     0.00000     0.00000     0.00000     0.00000
   -57.89818     0.00000     0.00000     0.00000     0.00000
   -57.82018     0.00000     0.00000     0.00000     0.00000
   -57.74318     0.00000     0.00000     0.00000     0.00000
   -57.66618     0.00000     0.00000     0.00000     0.00000
   -57.58818     0.00000     0.00000     0.00000     0.00000
   -57.51118     0.00000     0.00000     0.00000     0.00000
   -57.43418    -0.00000    -0.00000    -0.00000    -0.00000
   -57.35618    -0.00000    -0.00000    -0.00000    -0.00000
   -57.27918    -0.00000    -0.00000    -0.00000    -0.00000
   -57.20118    -0.00000    -0.00000    -0.00000    -0.00000
   -57.12418    -0.00000    -0.00000    -0.00000    -0.00000
   -57.04718    -0.00000    -0.00000    -0.00000    -0.00000
   -56.96918    -0.00001    -0.00000    -0.00000    -0.00001
   -56.89218    -0.00066    -0.00000    -0.00000    -0.00066
   -56.81518    -0.02147    -0.00000    -0.00000    -0.02147
   -56.73718    -0.18352    -0.00000    -0.00000    -0.18353
   -56.66018     0.00132    -0.00000    -0.00000     0.00132
   -56.58318     3.46550     0.00003     0.00003     3.46556
   -56.50518    10.52938     0.00010     0.00011    10.52958
   -56.42818    15.38869     0.00015     0.00016    15.38900
   -56.35118    16.16266     0.00015     0.00017    16.16298
   -56.27318    15.96092     0.00015     0.00017    15.96124
   -56.19618    15.91608     0.00015     0.00017    15.91640
   -56.11918    15.91403     0.00015     0.00017    15.91435
   -56.04118    15.91400     0.00015     0.00017    15.91432
   -55.96418    15.91400     0.00015     0.00017    15.91432
   -55.88618    15.91400     0.00015     0.00017    15.91432
   -55.80918    15.91400     0.00015     0.00017    15.91432
   -55.73218    15.91400     0.00015     0.00017    15.91432
   -55.65418    15.91400     0.00015     0.00017    15.91432
   -55.57718    15.91400     0.00015     0.00017    15.91432
   -55.50018    15.91400     0.00015     0.00017    15.91432
   -55.42218    15.91400     0.00015     0.00017    15.91432
   -55.34518    15.91400     0.00015     0.00017    15.91432
   -55.26818    15.91400     0.00015     0.00017    15.91432
   -55.19018    15.91400     0.00015     0.00017    15.91432
