      #Energy        TDOS
     -60.14118       0.00000
     -60.06418       0.00000
     -59.98618       0.00000
     -59.90918       0.00000
     -59.83118       0.00000
     -59.75418       0.00000
     -59.67718       0.00000
     -59.59918       0.00000
     -59.52218       0.00000
     -59.44518       0.00000
     -59.36718       0.00000
     -59.29018       0.00000
     -59.21318       0.00000
     -59.13518       0.00000
     -59.05818       0.00000
     -58.98118       0.00000
     -58.90318       0.00000
     -58.82618       0.00000
     -58.74918       0.00000
     -58.67118       0.00000
     -58.59418       0.00000
     -58.51618       0.00000
     -58.43918       0.00000
     -58.36218       0.00000
     -58.28418       0.00000
     -58.20718       0.00000
     -58.13018       0.00000
     -58.05218       0.00000
     -57.97518       0.00000
     -57.89818       0.00000
     -57.82018       0.00000
     -57.74318       0.00000
     -57.66618       0.00000
     -57.58818       0.00000
     -57.51118       0.00000
     -57.43418      -0.00000
     -57.35618      -0.00000
     -57.27918      -0.00000
     -57.20118      -0.00000
     -57.12418      -0.00000
     -57.04718      -0.00000
     -56.96918      -0.00001
     -56.89218      -0.00066
     -56.81518      -0.02159
     -56.73718      -0.18451
     -56.66018       0.00176
     -56.58318       3.48628
     -56.50518      10.58690
     -56.42818      15.46904
     -56.35118      16.24644
     -56.27318      16.04370
     -56.19618      15.99866
     -56.11918      15.99660
     -56.04118      15.99658
     -55.96418      15.99658
     -55.88618      15.99658
     -55.80918      15.99658
     -55.73218      15.99658
     -55.65418      15.99658
     -55.57718      15.99658
     -55.50018      15.99658
     -55.42218      15.99658
     -55.34518      15.99658
     -55.26818      15.99658
     -55.19018      15.99658
     -55.11318      15.99658
     -55.03618      15.99658
     -54.95818      15.99658
     -54.88118      15.99658
     -54.80418      15.99658
     -54.72618      15.99658
     -54.64918      15.99658
     -54.57118      15.99658
     -54.49418      15.99658
     -54.41718      15.99658
     -54.33918      15.99658
     -54.26218      15.99658
     -54.18518      15.99658
     -54.10718      15.99658
     -54.03018      15.99658
     -53.95318      15.99658
     -53.87518      15.99658
     -53.79818      15.99658
     -53.72118      15.99658
     -53.64318      15.99658
     -53.56618      15.99658
     -53.48918      15.99658
     -53.41118      15.99658
     -53.33418      15.99658
     -53.25618      15.99658
     -53.17918      15.99658
     -53.10218      15.99658
     -53.02418      15.99658
     -52.94718      15.99658
     -52.87018      15.99658
     -52.79218      15.99658
     -52.71518      15.99658
     -52.63818      15.99658
     -52.56018      15.99658
     -52.48318      15.99658
     -52.40618      15.99658
     -52.32818      15.99658
     -52.25118      15.99658
     -52.17418      15.99658
     -52.09618      15.99658
     -52.01918      15.99658
     -51.94118      15.99658
     -51.86418      15.99658
     -51.78718      15.99658
     -51.70918      15.99658
     -51.63218      15.99658
     -51.55518      15.99658
     -51.47718      15.99658
     -51.40018      15.99658
     -51.32318      15.99658
     -51.24518      15.99658
     -51.16818      15.99658
     -51.09118      15.99658
     -51.01318      15.99658
     -50.93618      15.99658
     -50.85918      15.99658
     -50.78118      15.99658
     -50.70418      15.99658
     -50.62618      15.99658
     -50.54918      15.99658
     -50.47218      15.99658
     -50.39418      15.99658
     -50.31718      15.99658
     -50.24018      15.99658
     -50.16218      15.99658
     -50.08518      15.99658
     -50.00818      15.99658
     -49.93018      15.99658
     -49.85318      15.99658
     -49.77618      15.99658
     -49.69818      15.99658
     -49.62118      15.99658
     -49.54418      15.99658
     -49.46618      15.99658
     -49.38918      15.99658
     -49.31118      15.99658
     -49.23418      15.99658
     -49.15718      15.99658
     -49.07918      15.99658
     -49.00218      15.99658
     -48.92518      15.99658
     -48.84718      15.99658
     -48.77018      15.99658
     -48.69318      15.99658
     -48.61518      15.99658
     -48.53818      15.99658
     -48.46118      15.99658
     -48.38318      15.99658
     -48.30618      15.99658
     -48.22918      15.99658
     -48.15118      15.99658
     -48.07418      15.99658
     -47.99618      15.99658
     -47.91918      15.99658
     -47.84218      15.99658
     -47.76418      15.99658
     -47.68718      15.99658
     -47.61018      15.99658
     -47.53218      15.99658
     -47.45518      15.99658
     -47.37818      15.99658
     -47.30018      15.99658
     -47.22318      15.99658
     -47.14618      15.99658
     -47.06818      15.99658
     -46.99118      15.99658
     -46.91418      15.99658
     -46.83618      15.99658
     -46.75918      15.99658
     -46.68118      15.99658
     -46.60418      15.99658
     -46.52718      15.99658
     -46.44918      15.99658
     -46.37218      15.99658
     -46.29518      15.99658
     -46.21718      15.99658
     -46.14018      15.99658
     -46.06318      15.99658
     -45.98518      15.99658
     -45.90818      15.99658
     -45.83118      15.99658
     -45.75318      15.99658
     -45.67618      15.99658
     -45.59918      15.99658
     -45.52118      15.99658
     -45.44418      15.99658
     -45.36618      15.99658
     -45.28918      15.99658
     -45.21218      15.99658
     -45.13418      15.99658
     -45.05718      15.99658
     -44.98018      15.99658
     -44.90218      15.99658
     -44.82518      15.99658
     -44.74818      15.99658
     -44.67018      15.99658
     -44.59318      15.99658
     -44.51618      15.99658
     -44.43818      15.99658
     -44.36118      15.99658
     -44.28418      15.99658
     -44.20618      15.99658
     -44.12918      15.99658
     -44.05118      15.99658
     -43.97418      15.99658
     -43.89718      15.99658
     -43.81918      15.99658
     -43.74218      15.99658
     -43.66518      15.99658
     -43.58718      15.99658
     -43.51018      15.99658
     -43.43318      15.99658
     -43.35518      15.99658
     -43.27818      15.99658
     -43.20118      15.99658
     -43.12318      15.99658
     -43.04618      15.99658
     -42.96918      15.99658
     -42.89118      15.99658
     -42.81418      15.99658
     -42.73618      15.99658
     -42.65918      15.99658
     -42.58218      15.99658
     -42.50418      15.99658
     -42.42718      15.99658
     -42.35018      15.99658
     -42.27218      15.99658
     -42.19518      15.99658
     -42.11818      15.99658
     -42.04018      15.99658
     -41.96318      15.99658
     -41.88618      15.99658
     -41.80818      15.99658
     -41.73118      15.99658
     -41.65418      15.99658
     -41.57618      15.99658
     -41.49918      15.99658
     -41.42118      15.99658
     -41.34418      15.99658
     -41.26718      15.99658
     -41.18918      15.99658
     -41.11218      15.99658
     -41.03518      15.99658
     -40.95718      15.99658
     -40.88018      15.99658
     -40.80318      15.99658
     -40.72518      15.99658
     -40.64818      15.99658
     -40.57118      15.99658
     -40.49318      15.99658
     -40.41618      15.99658
     -40.33918      15.99658
     -40.26118      15.99658
     -40.18418      15.99658
     -40.10618      15.99658
     -40.02918      15.99658
     -39.95218      15.99658
     -39.87418      15.99658
     -39.79718      15.99658
     -39.72018      15.99658
     -39.64218      15.99658
     -39.56518      15.99658
     -39.48818      15.99658
     -39.41018      15.99658
     -39.33318      15.99658
     -39.25618      15.99658
     -39.17818      15.99658
     -39.10118      15.99658
     -39.02418      15.99658
     -38.94618      15.99658
     -38.86918      15.99658
     -38.79118      15.99658
     -38.71418      15.99658
     -38.63718      15.99658
     -38.55918      15.99658
     -38.48218      15.99658
     -38.40518      15.99658
     -38.32718      15.99658
     -38.25018      15.99658
     -38.17318      15.99658
     -38.09518      15.99658
     -38.01818      15.99658
     -37.94118      15.99658
     -37.86318      15.99658
     -37.78618      15.99658
     -37.70918      15.99658
     -37.63118      15.99658
     -37.55418      15.99658
     -37.47618      15.99658
     -37.39918      15.99658
     -37.32218      15.99658
