 #      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
       0.000      67.7019675      0.0000000      0.0000000     67.7019675
      10.000      67.7017769      0.0742397      0.2148439     67.7025193
      20.000      67.6990181      0.6012756      1.9373229     67.7110437
      30.000      67.6857191      2.3467810      8.0807363     67.7561225
      40.000      67.6447982      6.2616852     20.9223317     67.8952656
      50.000      67.5513114     12.9124900     40.4204915     68.1969359
      60.000      67.3770852     22.3900831     64.9409068     68.7204902
      70.000      67.0949599     34.4261670     92.1806716     69.5047916
      80.000      66.6815793     48.5554791    120.0160666     70.5660176
      90.000      66.1186071     64.2591558    146.9183355     71.9019311
     100.000      65.3927666     81.0543778    171.9827300     73.4982043
     110.000      64.4952468     98.5342834    194.7872288     75.3340180
     120.000      63.4208823    116.3763713    215.2270818     77.3860468
     130.000      62.1673369    134.3353621    233.3822368     79.6309340
     140.000      60.7343938    152.2304210    249.4269242     82.0466527
     150.000      59.1233784    169.9317804    263.5736801     84.6131455
     160.000      57.3367089    187.3488837    276.0412461     87.3125303
     170.000      55.3775542    204.4206729    287.0376334     90.1290686
     180.000      53.2495789    221.1079666    296.7522656     93.0490129
     190.000      50.9567549    237.3876281    305.3532906     96.0604043
     200.000      48.5032243    253.2481722    312.9876732     99.1528588
     210.000      45.8931996    268.6864864    319.7826633    102.3173617
     220.000      43.1308930    283.7053999    325.8478404    105.5460810
     230.000      40.2204667    298.3118883    331.2772990    108.8322010
     240.000      37.1659976    312.5157529    336.1517506    112.1697783
     250.000      33.9714549    326.3286517    340.5404383    115.5536179
     260.000      30.6406851    339.7633916    344.5028266    118.9791669
     270.000      27.1774029    352.8334141    348.0900648    122.4424247
     280.000      23.5851869    365.5524231    351.3462386    125.9398654
     290.000      19.8674787    377.9341195    354.3094336    129.4683734
     300.000      16.0275838    389.9920135    357.0126332    133.0251879
     310.000      12.0686738    401.7392951    359.4844774    136.6078553
     320.000       7.9937906    413.1887471    361.7499003    140.2141897
     330.000       3.8058505    424.3526896    363.8306689    143.8422381
     340.000      -0.4923510    435.2429479    365.7458360    147.4902513
     350.000      -4.8981339    445.8708363    367.5121235    151.1566588
     360.000      -9.4089292    456.2471554    369.1442459    154.8400468
     370.000     -14.0222728    466.3821966    370.6551853    158.5391399
     380.000     -18.7358015    476.2857539    372.0564237    162.2527849
     390.000     -23.5472474    485.9671389    373.3581419    165.9799368
     400.000     -28.4544333    495.4351990    374.5693885    169.7196463
     410.000     -33.4552684    504.6983373    375.6982246    173.4710499
     420.000     -38.5477436    513.7645328    376.7518481    177.2333602
     430.000     -43.7299278    522.6413618    377.7366999    181.0058577
     440.000     -48.9999636    531.3360180    378.6585564    184.7878843
     450.000     -54.3560638    539.8553333    379.5226084    188.5788362
     460.000     -59.7965075    548.2057976    380.3335299    192.3781594
     470.000     -65.3196375    556.3935772    381.0955382    196.1853438
     480.000     -70.9238563    564.4245337    381.8124450    199.9999198
     490.000     -76.6076240    572.3042407    382.4877023    203.8214539
     500.000     -82.3694547    580.0380004    383.1244417    207.6495455
     510.000     -88.2079144    587.6308593    383.7255089    211.4838239
     520.000     -94.1216182    595.0876225    384.2934943    215.3239455
     530.000    -100.1092284    602.4128677    384.8307597    219.1695914
     540.000    -106.1694518    609.6109579    385.3394616    223.0204655
     550.000    -112.3010376    616.6860539    385.8215725    226.8762920
     560.000    -118.5027761    623.6421258    386.2788987    230.7368143
     570.000    -124.7734961    630.4829631    386.7130971    234.6017929
     580.000    -131.1120634    637.2121855    387.1256895    238.4710043
     590.000    -137.5173793    643.8332519    387.5180756    242.3442394
     600.000    -143.9883789    650.3494694    387.8915442    246.2213027
     610.000    -150.5240297    656.7640015    388.2472840    250.1020112
     620.000    -157.1233301    663.0798759    388.5863920    253.9861930
     630.000    -163.7853081    669.2999921    388.9098826    257.8736870
     640.000    -170.5090200    675.4271277    389.2186943    261.7643417
     650.000    -177.2935496    681.4639452    389.5136967    265.6580148
     660.000    -184.1380064    687.4129980    389.7956962    269.5545723
     670.000    -191.0415252    693.2767359    390.0654417    273.4538879
     680.000    -198.0032646    699.0575106    390.3236291    277.3558426
     690.000    -205.0224064    704.7575804    390.5709059    281.2603241
     700.000    -212.0981544    710.3791154    390.8078752    285.1672264
     710.000    -219.2297338    715.9242014    391.0350992    289.0764491
     720.000    -226.4163903    721.3948443    391.2531023    292.9878976
     730.000    -233.6573890    726.7929741    391.4623745    296.9014821
     740.000    -240.9520143    732.1204484    391.6633738    300.8171175
     750.000    -248.2995685    737.3790558    391.8565285    304.7347234
     760.000    -255.6993716    742.5705196    392.0422399    308.6542233
     770.000    -263.1507606    747.6965003    392.2208839    312.5755447
     780.000    -270.6530887    752.7585990    392.3928132    316.4986186
     790.000    -278.2057248    757.7583600    392.5583587    320.4233796
     800.000    -285.8080530    762.6972732    392.7178314    324.3497655
     810.000    -293.4594722    767.5767768    392.8715236    328.2777170
     820.000    -301.1593952    772.3982595    393.0197103    332.2071777
     830.000    -308.9072485    777.1630629    393.1626504    336.1380937
     840.000    -316.7024718    781.8724831    393.3005878    340.0704140
     850.000    -324.5445177    786.5277733    393.4337524    344.0040896
     860.000    -332.4328509    791.1301451    393.5623612    347.9390739
     870.000    -340.3669481    795.6807706    393.6866190    351.8753223
     880.000    -348.3462976    800.1807841    393.8067192    355.8127924
     890.000    -356.3703988    804.6312834    393.9228446    359.7514434
     900.000    -364.4387618    809.0333315    394.0351682    363.6912366
     910.000    -372.5509073    813.3879582    394.1438537    367.6321347
     920.000    -380.7063662    817.6961611    394.2490560    371.5741021
     930.000    -388.9046790    821.9589072    394.3509220    375.5171047
     940.000    -397.1453959    826.1771338    394.4495909    379.4611098
     950.000    -405.4280763    830.3517501    394.5451947    383.4060863
     960.000    -413.7522885    834.4836380    394.6378586    387.3520039
     970.000    -422.1176095    838.5736532    394.7277018    391.2988340
     980.000    -430.5236248    842.6226263    394.8148372    395.2465489
     990.000    -438.9699279    846.6313637    394.8993724    399.1951221
    1000.000    -447.4561205    850.6006486    394.9814094    403.1445281

Summary of calculation was written in "phonopy.yaml".
                 _
   ___ _ __   __| |
  / _ \ '_ \ / _` |
 |  __/ | | | (_| |
  \___|_| |_|\__,_|

